# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_desperados
# Exported by: NinjaTuna
setting:	replacespawns 1
weapon_zm_pistol	3150.8728 -2091.7927 330.5594	-0.106 40.714 89.608
weapon_zm_pistol	3244.3599 -2076.2993 331.6470	-0.089 -66.135 -89.964
weapon_zm_pistol	3192.6475 -2080.9998 331.6618	0.020 -54.433 -89.927
weapon_zm_pistol	1728.7915 -3831.4412 96.2609	-0.518 35.367 88.846
weapon_zm_pistol	2046.6243 -3540.2048 -44.3356	25.838 -10.399 -55.790
weapon_zm_pistol	3582.2888 -4124.4551 96.2474	-0.576 35.368 88.734
weapon_zm_pistol	3493.0757 -4011.3630 240.2278	-0.659 35.366 88.572
weapon_zm_pistol	3519.7512 -4008.6018 240.2347	-0.630 35.366 88.628
weapon_zm_pistol	2019.8026 -1991.6667 1152.2533	-0.552 35.369 88.783
weapon_zm_pistol	3199.5852 -1185.5320 1100.6331	-25.942 42.138 77.308
weapon_zm_pistol	2393.2856 -2853.3633 216.7998	-0.321 36.038 90.887
weapon_ttt_sg550	1876.2350 -1988.2476 1153.7065	0.461 -12.332 -91.138
weapon_ttt_sg550	3574.8750 -2963.4980 798.6255	-7.932 -12.607 -90.840
weapon_ttt_sg550	1960.2905 -2581.1304 353.0197	0.398 -80.624 84.117
weapon_ttt_sg550	1505.5098 -2811.7026 516.6768	0.243 12.493 84.983
weapon_ttt_sg550	3004.1106 -5057.9585 97.3931	-0.111 -29.510 -86.232
weapon_ttt_sg550	2613.2781 -4708.4668 -13.7197	-12.153 -55.600 62.250
weapon_ttt_m3	2228.6401 -1866.8629 1153.5853	1.259 10.206 84.349
weapon_ttt_m3	2913.3838 -1509.7032 686.3450	-0.493 -9.479 -88.785
weapon_ttt_m3	2670.2356 -2224.7136 513.6953	15.889 12.598 93.404
weapon_ttt_m3	2050.0217 -3424.6804 185.6851	-57.543 18.245 -84.014
weapon_ttt_m3	1672.0944 -4794.3198 -41.3974	4.394 80.307 -66.091
weapon_ttt_m3	2422.8562 -4480.8560 -46.5767	-0.508 -6.798 -89.530
weapon_zm_revolver	2537.8015 -2118.7014 360.4457	2.202 161.717 85.425
weapon_zm_revolver	2975.4866 -2081.4011 331.9084	2.320 -17.521 -85.047
weapon_zm_revolver	3109.3210 -2086.5649 332.1582	2.264 -36.079 -85.312
weapon_zm_revolver	2663.8987 -2371.7788 321.8469	2.188 -22.296 -83.911
weapon_zm_revolver	2258.8198 -2737.6226 388.6728	2.154 -20.781 -84.120
weapon_zm_revolver	2259.2666 -2764.3855 368.7829	3.161 -15.437 -85.152
weapon_zm_revolver	2259.1604 -2707.8147 408.8099	1.809 -18.756 -86.127
weapon_zm_revolver	3022.6482 -4151.9336 97.9016	2.581 -20.505 -83.287
weapon_zm_revolver	2669.1545 -2124.4009 530.2150	2.486 -20.572 -84.192
weapon_zm_revolver	2688.5522 -2098.8938 530.2705	2.793 -21.824 -84.894
weapon_zm_revolver	3822.8940 -3623.4744 549.9319	2.500 -20.563 -84.057
weapon_zm_revolver	3747.9331 -3524.7229 847.8402	-0.911 -21.566 -81.779
weapon_zm_revolver	2003.7646 -1819.9856 1153.8616	2.167 -18.893 -83.930
weapon_zm_revolver	3196.6636 -1161.3257 1104.7030	-11.920 -45.986 -61.549
weapon_zm_revolver	3329.8591 -2007.5355 609.7152	-0.304 -19.128 -87.207
weapon_zm_revolver	3517.7661 -2962.2983 -46.0891	1.897 -22.304 -85.975
weapon_zm_revolver	2558.0784 -2569.4392 203.8647	2.557 -20.686 -83.585
weapon_zm_revolver	2577.6794 -2531.3728 235.9516	3.281 -12.381 -83.134
weapon_zm_revolver	1393.0109 -3061.6140 321.8838	2.097 -20.731 -84.629
weapon_zm_revolver	1400.4680 -3068.2290 320.6373	2.023 24.044 84.878
weapon_zm_revolver	1406.8708 -2729.0796 469.8897	2.613 -20.478 -82.987
weapon_zm_revolver	1269.1924 -2438.5002 465.8843	2.211 -18.923 -84.171
weapon_zm_revolver	1272.8875 -2396.9329 465.8650	2.173 -18.894 -83.965
weapon_zm_revolver	1766.7460 -2542.9084 177.8491	2.142 -18.878 -83.797
ttt_random_weapon	2445.5403 -1927.4629 929.2453	1.240 4.411 -94.520
ttt_random_weapon	2454.2793 -1907.0446 929.2027	1.844 4.778 -92.667
ttt_random_weapon	3001.9004 -4024.9841 22.4102	-1.461 -4.281 84.766
ttt_random_weapon	3011.5737 -4045.6501 21.8764	2.099 5.703 -92.265
ttt_random_weapon	1421.7013 -2931.6191 472.4062	-11.886 4.139 -95.835
ttt_random_weapon	1416.6340 -2892.9470 470.3473	-3.818 16.230 96.050
ttt_random_weapon	1416.5248 -2886.0593 469.2202	1.834 6.652 -89.764
ttt_random_weapon	1649.7988 -4798.5840 -42.2865	-2.163 106.448 85.690
ttt_random_weapon	1654.6451 -4781.2544 -42.2607	-2.232 174.250 86.731
ttt_random_weapon	1654.3230 -4765.9722 -42.8154	2.048 -174.043 -92.201
ttt_random_weapon	1657.6895 -4739.0010 -42.4040	-1.306 165.878 82.742
ttt_random_weapon	2457.5745 -1936.5072 1029.2061	1.807 4.775 -92.752
ttt_random_weapon	2462.3896 -1897.8770 1029.2258	1.584 4.759 -93.264
ttt_random_weapon	3119.6047 -2800.4971 2.9501	2.249 3.779 -91.140
ttt_random_weapon	3184.4529 -2781.9636 2.9786	1.914 3.751 -91.908
ttt_random_weapon	2651.1736 -3096.9927 63.7184	-2.061 7.435 85.016
ttt_random_weapon	2659.5183 -3091.1030 63.1839	1.144 -0.735 -94.163
ttt_random_weapon	1261.8524 -2216.3215 465.1642	2.224 5.692 -92.008
ttt_random_weapon	1289.2740 -2224.6860 465.2273	1.554 5.722 -93.385
weapon_zm_molotov	3404.0781 -2098.4617 334.4833	1.206 0.012 -0.946
weapon_zm_molotov	3381.0684 -2096.0806 331.5536	47.658 -110.341 -89.872
weapon_zm_molotov	3061.2937 -2088.3083 336.1804	-0.000 135.000 0.000
weapon_zm_molotov	3059.6311 -2092.7913 331.7763	59.851 -67.259 90.011
weapon_zm_molotov	3014.1174 -2089.2622 363.4787	36.299 92.074 90.029
weapon_zm_molotov	3008.4788 -2070.5068 363.7400	-68.838 -54.804 -89.914
weapon_zm_molotov	1630.3680 -3615.1108 324.5570	0.210 -0.203 -0.040
weapon_zm_molotov	1515.3610 -3017.4802 326.0304	-0.000 0.000 0.002
weapon_zm_molotov	1969.6194 -2085.3899 1156.5457	0.229 -0.195 -0.045
weapon_zm_molotov	2229.0435 -2168.0991 324.6174	0.108 -0.233 -0.017
weapon_zm_molotov	2225.1660 -2178.2009 324.6590	1.927 -6.465 -1.289
weapon_zm_molotov	2220.8704 -2177.7058 324.7023	-9.454 -9.664 -1.077
weapon_zm_molotov	2237.6685 -2176.1045 321.7114	34.532 -117.427 -89.809
weapon_zm_molotov	2533.7368 -1693.5000 526.5280	1.694 0.008 -1.490
weapon_zm_molotov	2573.3711 -1701.6776 526.5027	0.356 0.002 0.041
weapon_zm_molotov	2620.9893 -1697.0588 526.5883	2.594 -0.129 -2.666
weapon_zm_molotov	3604.0081 -2932.5552 805.1563	-10.307 -1.087 2.349
weapon_zm_molotov	1842.7665 -1566.9575 1156.5376	0.243 -0.187 -0.048
weapon_zm_molotov	1695.8043 -3181.2317 321.7226	37.544 77.273 -90.046
weapon_zm_molotov	2018.3258 -2536.3193 236.8292	0.784 0.011 -0.425
weapon_zm_molotov	2034.1149 -2550.0232 236.8350	1.227 0.012 -0.928
weapon_zm_molotov	2245.7588 -2613.8423 216.6037	2.331 -0.122 -2.375
weapon_zm_rifle	3236.1970 -2238.6997 371.1322	8.667 -3.058 -24.027
weapon_zm_rifle	3278.8174 -2098.9436 363.5553	3.507 113.127 65.855
weapon_zm_rifle	2400.4856 -2191.4087 350.7184	-0.812 26.174 125.687
weapon_zm_rifle	2398.8301 -2172.1238 410.1639	0.371 13.069 -89.432
weapon_zm_rifle	3644.0237 -3141.4084 867.2256	0.346 -1.119 -107.823
weapon_zm_rifle	3671.9465 -3298.4185 863.7155	3.296 3.331 76.963
weapon_zm_rifle	1439.4999 -2201.2358 465.3417	3.329 11.508 64.872
weapon_zm_rifle	1864.3004 -1850.8242 1153.3732	3.321 11.538 65.278
weapon_zm_rifle	2999.8689 -1446.4117 1095.1611	12.500 10.445 77.614
weapon_zm_rifle	2687.6587 -1682.0221 547.1295	4.022 1.787 67.306
weapon_zm_rifle	2934.2896 -5160.3403 97.5694	4.343 11.937 67.022
weapon_zm_rifle	2423.6711 -5157.5596 97.3271	3.236 7.967 64.741
item_box_buckshot_ttt	2287.6426 -2365.8628 356.4698	-1.797 -0.015 -0.817
item_box_buckshot_ttt	2289.3506 -2399.0769 356.3182	0.238 39.221 0.077
item_box_buckshot_ttt	2291.4380 -2346.1443 356.3623	0.263 -50.060 0.093
item_box_buckshot_ttt	3683.1624 -3449.9487 837.5555	-20.415 -10.036 -2.518
item_box_buckshot_ttt	2226.2644 -1920.9725 1152.4402	0.648 0.007 0.556
item_box_buckshot_ttt	2227.8401 -1894.7103 1152.4075	1.041 0.007 0.858
item_box_buckshot_ttt	2218.7625 -1909.7791 1152.3719	-0.790 0.106 -0.565
item_box_buckshot_ttt	3433.9092 -3639.4592 -43.5751	0.014 -0.869 90.212
item_box_buckshot_ttt	3425.6443 -3640.3623 -47.5436	-0.540 10.380 0.277
item_box_buckshot_ttt	2614.6003 -2205.3604 501.6628	-1.657 5.659 14.353
item_box_buckshot_ttt	2622.5505 -2205.6707 501.5501	-1.287 5.014 14.326
item_box_buckshot_ttt	2629.6152 -2215.7358 499.0630	1.401 -6.760 14.048
item_box_buckshot_ttt	2631.6938 -2221.7573 506.0048	53.191 25.146 33.360
item_box_buckshot_ttt	2622.5264 -2216.7659 502.8645	14.084 -81.666 92.223
item_box_buckshot_ttt	2624.1541 -2220.9768 513.1958	-56.387 -161.819 153.155
item_box_buckshot_ttt	2631.3538 -2205.4490 501.5983	-3.342 16.581 13.390
item_box_buckshot_ttt	1634.1130 -4853.8462 -24.8823	-85.149 -65.366 7.494
item_box_buckshot_ttt	1631.8594 -4821.0244 -25.0438	-85.010 -29.722 -4.631
item_box_buckshot_ttt	1636.0647 -4808.5420 -25.1742	-84.558 -55.209 32.508
item_box_buckshot_ttt	1631.4929 -4771.4502 -24.3567	-76.225 155.376 -155.500
item_box_buckshot_ttt	1637.9285 -4740.3950 -25.2165	-82.633 -90.071 -11.166
item_box_buckshot_ttt	1642.5990 -4708.9424 -25.1841	84.119 -99.607 -7.356
item_box_buckshot_ttt	2245.3584 -1908.0886 1152.3853	0.280 -0.001 0.300
item_box_buckshot_ttt	2895.8882 -1513.0254 665.3879	-0.570 -0.005 -0.824
item_box_buckshot_ttt	2926.4214 -1509.4513 665.2917	0.287 0.005 0.037
item_box_buckshot_ttt	2042.7982 -3345.0947 176.3883	-0.990 0.020 0.881
item_box_buckshot_ttt	2044.9733 -3364.0559 176.3441	-0.585 0.003 -0.489
item_box_buckshot_ttt	2027.7894 -3352.4973 176.4344	-0.608 -0.006 0.540
item_box_buckshot_ttt	2419.4817 -4458.7749 -7.1091	-0.027 0.282 0.033
item_box_buckshot_ttt	2433.3123 -4461.3223 -7.1329	-0.058 -0.051 0.074
item_ammo_357_ttt	2976.7988 -2092.4385 367.1277	0.867 46.200 -90.445
item_ammo_357_ttt	3184.3452 -2094.5459 367.2101	-0.049 23.467 -89.871
item_ammo_357_ttt	2448.0708 -2178.4404 346.3189	0.994 -102.600 0.108
item_ammo_357_ttt	2404.7935 -2170.4187 378.3409	0.705 -69.687 0.090
item_ammo_357_ttt	3699.7454 -3315.7078 859.1448	1.019 -0.388 11.189
item_ammo_357_ttt	3676.2437 -3315.7571 859.3525	0.961 -0.380 11.398
item_ammo_357_ttt	3658.3220 -3154.3027 870.4969	1.220 0.574 -18.578
item_ammo_357_ttt	3642.5088 -3154.7388 870.7927	1.146 0.552 -18.803
item_ammo_357_ttt	1445.6591 -2176.8667 464.4096	0.472 0.056 0.022
item_ammo_357_ttt	1461.4647 -2175.8237 464.3177	0.462 0.075 0.055
item_ammo_357_ttt	1857.0647 -1918.4170 1152.3201	0.463 0.075 0.055
item_ammo_357_ttt	1873.2555 -1916.9227 1152.3486	0.465 0.064 0.044
item_ammo_357_ttt	1886.0518 -1914.8478 1152.3575	0.466 0.062 0.041
item_ammo_357_ttt	1896.4454 -1915.1195 1152.3523	0.466 0.062 0.043
item_ammo_357_ttt	3058.7200 -1454.5314 1088.4321	0.469 0.052 0.015
item_ammo_357_ttt	2691.5056 -1706.5216 549.0803	89.497 13.223 -6.118
item_ammo_357_ttt	2941.4302 -5155.5635 97.6493	1.261 1.054 -15.506
item_ammo_357_ttt	2946.6470 -5143.0244 96.4609	1.457 0.307 -0.829
item_ammo_357_ttt	2928.2458 -5145.0410 96.3283	0.450 0.070 0.056
item_ammo_357_ttt	2507.1360 -5173.1743 96.3700	0.458 0.059 0.039
item_ammo_357_ttt	3596.1587 -2981.8921 800.7687	-8.293 -0.232 -1.088
item_ammo_357_ttt	3578.0349 -2978.7786 798.0481	-8.345 -0.228 -1.080
item_ammo_357_ttt	1960.9465 -2560.8770 352.3518	0.454 0.060 0.047
item_ammo_357_ttt	1961.3495 -2546.8333 352.3621	0.456 0.058 0.043
item_ammo_357_ttt	1497.0209 -2792.4915 515.9438	0.424 0.073 0.056
item_ammo_357_ttt	1511.1844 -2791.7253 516.0030	0.443 0.052 0.036
item_ammo_357_ttt	3028.3711 -5090.8984 96.3501	0.454 0.064 0.047
item_ammo_357_ttt	3016.7371 -5087.6455 96.3588	0.456 0.062 0.044
item_ammo_357_ttt	2574.6411 -4707.2012 -4.7204	16.329 3.001 -21.652
item_ammo_357_ttt	2559.1279 -4693.2510 -6.6170	16.351 3.060 -21.660
item_ammo_smg1_ttt	3103.1855 -2083.4753 362.8069	0.013 -6.745 0.003
item_ammo_smg1_ttt	3014.8669 -2077.8223 335.9601	89.032 -100.132 -7.357
item_ammo_smg1_ttt	3284.4568 -2090.6707 336.1588	88.523 18.541 -6.341
item_ammo_smg1_ttt	3008.9431 -4236.1113 240.4201	0.423 -0.004 0.272
item_ammo_smg1_ttt	3027.7754 -4267.1035 240.5085	-0.392 0.011 -0.319
item_ammo_smg1_ttt	3062.3696 -4270.0220 240.3993	0.152 -0.005 0.090
item_ammo_smg1_ttt	2402.3706 -5135.1074 96.4112	0.267 -0.005 0.167
item_ammo_smg1_ttt	2291.8843 -2800.4873 464.3943	-0.122 0.005 0.070
item_ammo_smg1_ttt	1593.2028 -3268.2156 245.1353	-1.089 -0.000 0.715
item_ammo_smg1_ttt	2406.2336 -2003.9832 556.5604	0.819 -0.511 0.043
item_ammo_smg1_ttt	2314.1575 -2614.9883 212.3832	0.094 -0.007 0.046
item_ammo_smg1_ttt	2295.1655 -2588.1348 212.4988	-0.945 0.004 -0.727
item_ammo_smg1_ttt	2260.4448 -2629.6018 212.5053	-0.279 0.011 -0.233
item_ammo_smg1_ttt	2841.9968 -5082.6079 -47.4925	-0.797 -0.003 -0.513
item_ammo_smg1_ttt	2827.3167 -5085.9165 -47.4906	-0.360 0.011 -0.297
item_ammo_smg1_ttt	3135.9993 -2057.0442 504.4464	0.014 0.023 0.002
item_ammo_smg1_ttt	3273.3569 -2057.1958 504.4584	0.015 0.026 0.002
item_ammo_smg1_ttt	2720.0710 -2456.0691 346.5436	-3.426 -0.126 1.254
item_ammo_smg1_ttt	2615.6960 -2442.0002 312.5019	0.157 -0.263 0.524
item_ammo_smg1_ttt	1422.6910 -2534.5286 176.5036	0.659 -0.011 -0.498
item_ammo_smg1_ttt	1500.1682 -2540.6218 176.5031	0.526 -0.011 -0.408
item_ammo_smg1_ttt	2212.7195 -4537.9829 -15.5958	0.191 -0.005 0.116
item_ammo_smg1_ttt	2267.4573 -4504.9497 -7.3811	-0.073 0.030 -0.047
weapon_zm_shotgun	3367.4065 -2238.7449 390.9135	10.897 -0.944 -9.061
weapon_zm_shotgun	2280.1772 -2376.5781 356.9797	-0.417 -9.279 -87.627
weapon_zm_shotgun	3677.1934 -3436.2395 834.6610	-20.288 10.658 82.243
weapon_zm_shotgun	2226.3911 -1950.6638 1153.2690	-0.287 8.552 83.841
weapon_zm_shotgun	3446.1194 -3638.2961 -46.6061	-0.634 -64.297 89.392
weapon_zm_shotgun	2666.6790 -2206.4551 518.5536	15.565 8.037 -37.347
weapon_zm_shotgun	1659.7222 -4756.0088 -35.8155	-52.598 -11.321 -79.914
weapon_zm_shotgun	1668.5549 -4798.8589 -42.6733	0.486 -70.778 82.885
weapon_ttt_m16	3333.2317 -2073.0193 331.2354	2.461 -69.074 85.747
weapon_ttt_m16	3385.3638 -2084.2249 364.3880	2.435 -101.432 -85.710
weapon_ttt_m16	3045.6484 -4314.4990 -29.0294	1.928 -1.161 85.374
weapon_ttt_m16	3266.9307 -2645.0298 -46.8064	2.427 -8.454 84.596
weapon_ttt_m16	2056.2607 -3595.0610 -46.8342	2.248 8.734 85.183
weapon_ttt_m16	2528.0090 -1848.9148 501.6632	2.037 -2.799 84.294
weapon_ttt_m16	2595.3813 -5123.5747 -46.8165	2.312 -8.467 84.508
weapon_ttt_m16	2016.6719 -1928.6304 1153.1943	2.437 -8.464 84.608
weapon_ttt_m16	1565.7958 -2932.3945 398.3374	1.737 -7.567 87.937
item_ammo_revolver_ttt	2524.7429 -2102.0735 360.3160	0.338 -5.536 -0.000
item_ammo_revolver_ttt	2536.0374 -2130.5017 360.2502	0.667 27.405 0.023
item_ammo_revolver_ttt	3102.9822 -2085.8511 330.6751	0.810 15.481 -0.221
item_ammo_revolver_ttt	2969.1631 -2083.1860 330.3563	0.478 19.959 -0.949
item_ammo_revolver_ttt	2263.2773 -2741.8618 370.1427	89.638 165.298 150.900
item_ammo_revolver_ttt	2263.5435 -2758.7761 387.1408	0.448 15.829 -0.418
item_ammo_revolver_ttt	2264.4160 -2748.2671 412.4625	-43.573 -131.904 179.823
item_ammo_revolver_ttt	2793.5193 -1747.6472 784.3762	0.468 0.058 0.034
item_ammo_revolver_ttt	2789.6082 -1716.9750 784.3733	0.468 0.059 0.035
item_ammo_revolver_ttt	3041.6316 -4157.0820 96.3759	0.459 0.058 0.037
item_ammo_revolver_ttt	3007.8064 -4151.6050 96.3366	0.452 0.066 0.053
item_ammo_revolver_ttt	3027.1643 -4138.8735 96.4016	0.464 0.056 0.027
item_ammo_revolver_ttt	2667.8962 -2113.7004 528.6461	0.493 3.701 0.078
item_ammo_revolver_ttt	2681.4758 -2101.3833 528.6346	0.171 0.335 0.072
item_ammo_revolver_ttt	2687.7510 -2105.4155 529.5142	0.451 -2.569 11.682
item_ammo_revolver_ttt	2696.9412 -2105.9895 529.4632	0.814 -0.613 10.950
item_ammo_revolver_ttt	2690.9668 -2122.7180 533.9184	-43.170 3.151 179.781
item_ammo_revolver_ttt	2675.4900 -2115.3857 528.7035	1.372 4.140 -0.007
item_ammo_revolver_ttt	3825.9893 -3640.8459 548.3571	0.456 0.062 0.045
item_ammo_revolver_ttt	3824.1675 -3659.7734 548.3195	0.449 0.075 0.059
item_ammo_revolver_ttt	3751.3743 -3545.5271 846.2995	-3.679 -0.176 0.592
item_ammo_revolver_ttt	3752.0676 -3557.7097 846.2285	-3.556 -0.176 0.617
item_ammo_revolver_ttt	1976.3861 -1818.6091 1152.3372	0.464 0.067 0.048
item_ammo_revolver_ttt	3133.3269 -1439.6342 1088.3510	0.678 -0.088 -0.028
item_ammo_revolver_ttt	3073.7891 -1380.5416 1144.6697	0.447 0.053 0.038
item_ammo_revolver_ttt	2864.1711 -2016.0109 672.3484	0.443 0.059 0.043
item_ammo_revolver_ttt	3230.7961 -1999.1553 664.7369	0.467 0.049 0.014
item_ammo_revolver_ttt	3524.7588 -2975.8181 -47.6218	0.431 0.286 -0.027
item_ammo_revolver_ttt	3513.6179 -2973.5723 -42.3473	-43.231 -173.338 180.000
item_ammo_revolver_ttt	2587.4973 -2580.5874 176.4600	0.276 0.015 0.000
item_ammo_revolver_ttt	2588.6460 -2622.6355 201.1517	-1.105 -0.624 -8.358
item_ammo_revolver_ttt	1391.2261 -3065.2805 321.2362	-14.930 0.575 0.037
item_ammo_revolver_ttt	1397.7614 -3065.9109 321.6281	0.959 -3.754 16.864
item_ammo_revolver_ttt	1403.6018 -3068.7322 325.5197	80.035 -80.854 -97.976
item_ammo_revolver_ttt	1400.6083 -3065.0354 331.1696	79.773 -84.034 -71.695
item_ammo_revolver_ttt	1426.2968 -3065.1628 323.3036	-88.550 5.632 0.000
item_ammo_revolver_ttt	1440.4894 -3064.2156 323.3536	-89.203 5.269 0.000
item_ammo_revolver_ttt	1519.8224 -2746.6746 468.3217	0.449 0.070 0.058
item_ammo_revolver_ttt	1276.3580 -2421.1021 464.3804	0.469 0.058 0.033
item_ammo_revolver_ttt	1302.5433 -2414.2437 464.3468	0.465 0.064 0.045
item_ammo_revolver_ttt	1776.6321 -2613.7559 176.3673	0.467 0.060 0.037
item_ammo_revolver_ttt	1779.4818 -2644.3472 176.4247	0.473 0.056 0.017
item_ammo_revolver_ttt	1760.8899 -2630.7102 176.3776	0.468 0.058 0.034
item_ammo_pistol_ttt	3138.1763 -2090.2080 330.5588	-0.113 -0.370 0.060
item_ammo_pistol_ttt	3246.1511 -2094.2168 330.6326	-0.884 -66.365 -0.115
item_ammo_pistol_ttt	3184.8350 -2085.3840 330.6686	-0.385 11.724 -0.069
item_ammo_pistol_ttt	3232.4270 -2084.1741 339.4521	0.742 -29.238 90.666
item_ammo_pistol_ttt	3209.9736 -2082.8594 330.6954	0.180 -2.203 -0.013
item_ammo_pistol_ttt	3319.2361 -2101.8320 365.3219	-89.071 79.969 -169.353
item_ammo_pistol_ttt	3342.0867 -2075.6531 365.2812	-89.579 -2.520 79.462
item_ammo_pistol_ttt	1726.5271 -3804.1328 96.4210	-0.068 -0.020 -0.021
item_ammo_pistol_ttt	1747.5996 -3806.5574 96.3430	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	3270.0786 -2663.3040 -47.6243	-0.394 -0.033 -0.161
item_ammo_pistol_ttt	3270.9983 -2681.6252 -47.5475	-0.235 0.118 -0.346
item_ammo_pistol_ttt	3248.7769 -4077.2861 -31.1844	0.005 0.030 0.010
item_ammo_pistol_ttt	3234.4614 -4074.0469 -31.1862	-0.087 -0.020 -0.022
item_ammo_pistol_ttt	1968.0338 -3665.6453 -47.5945	-0.081 -0.020 -0.025
item_ammo_pistol_ttt	2024.8523 -3549.8247 -47.5267	0.029 -6.152 0.156
item_ammo_pistol_ttt	2105.3743 -3267.0945 32.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	3504.0557 -3981.9829 240.3384	0.032 0.030 0.004
item_ammo_pistol_ttt	3517.1550 -4002.9412 240.4278	0.014 0.031 0.002
item_ammo_pistol_ttt	1976.8297 -1987.9203 1152.3521	0.128 0.019 -0.039
item_ammo_pistol_ttt	3506.7639 -3017.5027 -47.6306	-0.233 -0.019 -0.112
item_ammo_pistol_ttt	3488.4075 -3048.8066 -47.6164	-0.101 -0.019 -0.030
item_ammo_pistol_ttt	2616.4370 -5109.6807 -47.6479	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	2596.2141 -5106.7246 -47.6435	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	2604.4077 -5108.8115 -47.6372	-0.119 -0.019 -0.036
weapon_ttt_famas	3040.9939 -1745.6300 827.4997	2.965 20.250 90.115
weapon_ttt_famas	1457.1835 -2661.6069 241.3220	-0.243 16.088 90.712
weapon_ttt_famas	3247.4902 -4196.1919 97.4685	-0.000 -19.064 -89.141
weapon_ttt_famas	1694.6458 -3637.6377 321.2224	0.000 16.411 88.603
weapon_ttt_famas	2453.7634 -4355.5850 1.5136	0.089 -8.568 -89.608
weapon_ttt_famas	1752.6019 -4664.9136 -46.6932	0.000 16.391 89.717
weapon_zm_sledge	3103.1914 -2086.5771 399.0325	0.616 -58.199 -128.704
weapon_zm_sledge	3325.8474 -2233.7571 379.9962	10.132 -169.518 1.279
weapon_zm_sledge	2577.7864 -2077.4805 338.0074	18.515 -2.595 2.764
weapon_zm_sledge	3417.9819 -4138.1025 103.3358	19.518 -26.713 -53.556
weapon_zm_sledge	2566.0481 -1411.1895 1156.4205	18.522 0.183 2.832
weapon_zm_sledge	3666.4653 -3681.1902 245.9411	0.878 150.930 -131.008
weapon_zm_sledge	2562.5789 -2593.6648 269.3354	18.387 -2.024 2.749
weapon_ttt_ak47	2022.8032 -1871.3666 1153.0363	0.018 13.751 -87.215
weapon_ttt_ak47	2806.8726 -1585.6124 645.0240	-0.175 -14.475 87.881
weapon_ttt_ak47	2072.9202 -3764.9053 165.6957	-0.222 -14.775 87.350
weapon_ttt_ak47	3697.3799 -3851.2063 241.0012	0.205 0.684 -87.826
