# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_westwood
# Exported by: «[N-G]» EraYaN
setting:	replacespawns 1
weapon_zm_pistol	962.8791 19.2574 -111.7903	0.035 173.890 88.802
weapon_zm_pistol	-133.6000 -294.8761 -79.6664	-0.577 76.979 90.909
weapon_zm_pistol	-154.2167 -306.2518 -79.6811	0.220 -8.039 88.407
weapon_zm_pistol	1710.9563 133.9164 -10.8490	-1.060 -4.644 91.248
weapon_zm_pistol	1671.1409 308.1098 -14.6800	-0.061 -82.849 90.390
item_ammo_pistol_ttt	567.9443 738.0521 63.9920	1.174 -168.616 0.215
item_ammo_pistol_ttt	-170.8890 -745.8362 -78.9255	-1.262 0.187 -0.532
item_ammo_pistol_ttt	-135.2586 -310.3806 -79.6746	-2.456 -0.740 0.561
item_ammo_pistol_ttt	-129.3834 -310.7325 -79.4450	1.594 -0.161 -0.149
item_ammo_pistol_ttt	-123.2275 -310.7480 -79.6205	0.445 0.104 -0.010
item_ammo_pistol_ttt	-247.5432 1488.3315 -106.6069	7.624 -0.261 -4.455
item_ammo_pistol_ttt	-232.0980 1489.9357 -108.0604	0.138 -0.315 -4.555
item_ammo_pistol_ttt	958.3776 34.7656 -111.5726	-0.392 0.036 -0.542
item_ammo_pistol_ttt	970.6281 34.9316 -111.5607	-0.327 0.035 -0.452
weapon_ttt_m3	979.2965 -841.9568 129.4492	-0.260 -14.687 -89.270
weapon_ttt_m3	439.2074 -861.4232 -30.5645	0.946 8.473 84.130
weapon_ttt_m3	283.8699 -868.5224 -110.6167	-0.750 6.912 86.827
weapon_ttt_m3	586.9888 742.4676 25.4486	-0.347 -8.404 -89.116
weapon_ttt_m3	477.7000 555.9864 41.3895	-0.480 -10.275 -88.798
weapon_ttt_m3	51.6333 1166.5117 23.4018	16.677 9.309 86.778
weapon_ttt_m3	1144.3931 160.1635 -108.2319	9.652 0.033 -0.539
weapon_zm_revolver	1658.6345 204.9786 -45.3213	2.108 86.311 85.580
weapon_zm_revolver	1664.3854 312.5063 -44.0800	2.359 124.266 -85.153
weapon_zm_revolver	889.5496 1059.5531 -126.0435	2.255 -79.051 -85.351
weapon_zm_revolver	496.4458 1513.6580 -126.0435	2.255 -6.371 -85.351
weapon_zm_revolver	519.8679 1410.3518 -126.0435	2.255 -136.171 -85.351
weapon_zm_revolver	603.7673 1451.5579 -108.5897	2.255 -62.031 -85.351
weapon_zm_revolver	590.5291 1451.7551 -108.5897	2.255 -64.671 -85.351
weapon_zm_revolver	-99.1727 1734.7542 -43.8659	-20.331 -86.544 1.700
