# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_amsterville_final
# Exported by: -[S-G]- Inferno
setting:	replacespawns 1
weapon_zm_pistol	1625.1545 1847.9487 112.3265	0.384 36.883 88.459
weapon_zm_pistol	1264.8795 2429.1907 120.3146	0.114 52.427 89.750
weapon_zm_pistol	2210.0342 2962.7319 97.4199	-0.296 -37.890 -88.113
weapon_zm_pistol	2342.1614 2911.8789 96.2661	-0.157 36.020 87.907
weapon_zm_pistol	2510.9941 3268.6670 96.2838	-0.133 36.017 88.205
item_ammo_pistol_ttt	1513.7961 2304.3118 96.3176	-0.158 -0.017 -0.048
item_ammo_pistol_ttt	1503.0588 2224.4468 96.3727	-0.110 -0.019 -0.033
item_ammo_pistol_ttt	1657.5212 2619.1128 112.4700	-0.030 0.006 -0.005
item_ammo_pistol_ttt	1655.8851 2595.6851 112.3382	-0.140 -0.019 -0.042
item_ammo_pistol_ttt	1655.0598 2571.4111 112.3668	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	1667.1100 2570.7642 112.3628	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	1668.3159 2593.9253 112.3746	-0.108 -0.019 -0.033
item_ammo_pistol_ttt	1666.1224 2618.2854 112.3628	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	1680.1544 2618.0076 112.3836	-0.101 -0.020 -0.030
item_ammo_pistol_ttt	1681.5358 2594.6570 112.3358	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	1683.1448 2571.8218 112.3406	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	1696.0322 2575.5591 112.3997	-0.086 -0.020 -0.026
item_ammo_pistol_ttt	1693.9677 2597.6045 112.3521	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	1691.9426 2617.4316 112.3904	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	1423.7609 2000.6890 96.3256	-0.151 -0.018 -0.046
