# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_c17ruins
# Exported by: Inferno
setting:	replacespawns 1
weapon_zm_pistol	6558.1167 953.9385 -4.1187	0.000 35.929 89.848
weapon_zm_pistol	7024.0146 -1829.6848 42.8317	-0.490 -34.325 -90.368
weapon_zm_pistol	5205.8911 -149.6528 0.3472	0.240 36.855 88.978
weapon_zm_pistol	7971.4844 1312.6848 0.2729	-0.148 36.020 88.021
weapon_zm_pistol	7980.7305 1359.9825 1.3970	-0.245 -38.803 -89.253
weapon_zm_pistol	7937.0430 1347.6362 0.2838	-0.133 36.017 88.205
weapon_zm_pistol	7920.1147 1350.9957 0.2853	-0.131 36.017 88.229
weapon_zm_pistol	7899.4614 1361.0455 1.4238	-0.869 -39.162 -89.554
weapon_zm_pistol	7890.2734 1318.1226 0.2729	-0.148 36.020 88.021
weapon_zm_pistol	7949.7993 1325.3682 1.3935	-0.603 -38.490 -88.236
item_ammo_pistol_ttt	6546.8145 1003.5705 -4.0020	0.000 0.005 0.000
item_ammo_pistol_ttt	6559.1470 970.6660 -4.0020	0.000 0.005 -0.000
item_ammo_pistol_ttt	6545.7866 925.7579 -4.0020	0.000 0.005 -0.000
item_ammo_pistol_ttt	7001.8623 -1842.0684 41.7560	-0.073 -0.330 -0.017
item_ammo_pistol_ttt	7016.5742 -1851.9795 41.7275	-0.202 -0.442 0.109
item_ammo_pistol_ttt	6588.4136 983.7392 -4.0156	0.025 0.005 -0.006
item_ammo_pistol_ttt	6610.7163 990.2000 -4.0234	-0.016 -0.041 -0.001
item_ammo_pistol_ttt	6924.2212 2022.7026 49.6416	-0.043 -0.019 -0.010
item_ammo_pistol_ttt	6909.9858 2019.7133 49.6054	-0.080 -0.022 -0.020
item_ammo_pistol_ttt	7802.6992 1395.7456 0.4419	-0.313 0.035 -0.432
item_ammo_pistol_ttt	7814.5464 1398.3121 0.4435	-0.303 0.035 -0.419
item_ammo_pistol_ttt	7825.8984 1397.8895 0.4452	-0.294 0.035 -0.406
item_ammo_pistol_ttt	7837.7510 1398.3390 0.4381	0.921 -0.057 -0.096
item_ammo_pistol_ttt	7851.5161 1398.3904 0.4355	-0.348 0.035 -0.480
item_ammo_pistol_ttt	7852.2490 1375.4686 0.4392	-0.327 0.035 -0.452
item_ammo_pistol_ttt	7837.7334 1374.2761 0.4401	-0.322 0.035 -0.445
item_ammo_pistol_ttt	7826.2471 1373.4139 0.4401	-0.322 0.035 -0.445
item_ammo_pistol_ttt	7815.5869 1371.6857 0.4392	-0.327 0.035 -0.452
item_ammo_pistol_ttt	7802.7007 1373.3055 0.4410	-0.317 0.035 -0.438
item_ammo_pistol_ttt	5217.4966 -178.6333 0.4410	-0.318 0.035 -0.438
item_ammo_pistol_ttt	5237.4048 -155.0345 0.4707	-0.154 0.034 -0.212
item_ammo_pistol_ttt	5224.5024 -118.5511 0.4427	-0.308 0.035 -0.425
weapon_zm_revolver	5413.2739 -1923.5504 1.9096	2.447 -20.361 -83.675
weapon_zm_revolver	6946.9849 -1570.0646 43.1820	2.668 -11.263 -83.465
weapon_zm_revolver	6280.0225 -68.2821 -87.8634	4.583 -26.748 -91.093
weapon_zm_revolver	7878.9097 1397.9237 1.9211	2.544 -19.439 -84.249
weapon_zm_revolver	7903.0933 1398.0579 1.8955	2.384 -20.187 -83.772
weapon_zm_revolver	7932.9648 1397.8208 1.9454	2.459 -17.996 -84.566
weapon_zm_revolver	7971.3735 1397.9207 1.9152	2.566 -19.478 -84.090
item_ammo_smg1_ttt	5859.5220 -1800.4132 -106.7172	9.823 1.317 0.225
item_ammo_smg1_ttt	5839.1738 -1769.4132 -103.3616	10.198 1.339 0.238
item_ammo_smg1_ttt	7851.3994 1326.9384 0.5092	-0.404 -0.053 -0.153
item_ammo_smg1_ttt	7833.1216 1326.0015 0.4158	0.338 -0.005 0.215
item_ammo_smg1_ttt	7802.8364 1324.1732 0.4326	0.846 -0.001 0.555
item_ammo_smg1_ttt	7819.3823 1324.1633 0.3968	0.137 -0.005 0.080
weapon_zm_shotgun	5151.9570 -735.9592 -126.7276	-0.324 8.301 84.018
weapon_zm_shotgun	5425.3174 -688.7390 -126.7313	-0.282 8.299 83.818
weapon_zm_shotgun	6037.7134 150.1256 1.2664	-0.256 8.298 83.699
weapon_zm_shotgun	6173.3198 -807.1170 129.0399	-0.876 -9.529 -88.456
weapon_zm_shotgun	6849.7646 581.7940 -2.0972	9.446 -0.147 -0.244
weapon_zm_shotgun	7880.2095 1304.1967 1.2773	-0.462 9.802 84.513
weapon_zm_shotgun	7969.5420 1300.2196 1.2532	-0.386 9.618 83.785
weapon_zm_shotgun	6700.4316 -1373.7281 1.2724	-0.324 8.301 84.018
weapon_ttt_m16	6598.7856 965.3559 -3.3415	2.053 -8.672 84.302
weapon_ttt_m16	6913.6060 1998.7980 50.3462	1.984 -8.918 84.262
weapon_ttt_m16	7895.7866 1342.8290 1.1751	2.211 -3.206 84.422
weapon_ttt_m16	7951.0654 1337.9353 1.1479	2.039 -2.762 84.140
weapon_ttt_m16	7921.7466 1299.9365 1.1813	2.033 -5.425 84.598
weapon_ttt_m16	7924.3789 1318.6113 1.2344	2.296 -17.600 85.186
weapon_zm_molotov	7072.7949 963.4143 78.5321	-2.831 -1.119 -1.515
weapon_zm_molotov	7078.7222 976.8387 78.4532	-2.831 -1.115 -1.515
weapon_zm_molotov	7096.0513 984.9331 79.0811	-2.831 -1.114 -1.515
weapon_zm_molotov	7113.8511 986.9980 79.8982	-2.831 -1.110 -1.516
weapon_zm_molotov	7109.1172 1014.6938 78.9027	-2.830 -1.099 -1.516
weapon_zm_molotov	7128.9331 1004.0515 80.1688	-2.831 -1.104 -1.516
weapon_zm_molotov	7116.6885 971.0652 80.4764	-2.831 -1.119 -1.515
weapon_zm_molotov	7086.7783 956.1368 79.4191	-2.831 -1.123 -1.515
weapon_zm_molotov	7076.2500 938.9485 79.3757	-2.831 -1.126 -1.514
weapon_zm_molotov	7041.6357 928.0224 77.9772	-2.831 -1.121 -1.515
weapon_zm_molotov	7059.5850 922.0598 79.0228	-2.831 -1.127 -1.514
weapon_zm_molotov	7064.2056 950.5926 78.4636	-2.831 -1.121 -1.515
weapon_zm_molotov	7031.4263 951.6622 76.8247	-2.830 -1.090 -1.517
weapon_zm_molotov	7053.5259 941.4363 78.1915	-2.831 -1.112 -1.515
weapon_zm_sledge	7018.9351 -1824.0846 45.6051	18.044 -2.903 1.935
weapon_zm_sledge	7054.0977 -1732.1918 8.4165	18.468 0.272 2.895
weapon_zm_sledge	5210.1816 -75.4228 4.4193	18.496 0.266 2.878
