# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_camel_v1
# Exported by: -[S-G]- Inferno
setting:	replacespawns 1
weapon_zm_pistol	674.9327 -3307.6206 423.4287	-0.186 34.890 90.239
weapon_zm_pistol	-420.4324 -219.7006 520.2745	-0.145 36.019 88.049
weapon_zm_pistol	-380.3729 -214.9174 520.3484	-0.045 35.947 89.286
weapon_zm_pistol	-130.7637 -3147.0620 128.3072	-0.101 35.998 88.596
weapon_zm_pistol	-134.5626 1847.8121 8.3573	0.597 35.985 88.955
weapon_zm_pistol	-133.4382 1810.8308 8.4803	1.950 33.299 88.849
weapon_zm_pistol	439.1257 -1784.5769 -66.9328	-9.052 -42.845 -97.524
item_ammo_pistol_ttt	-663.2950 -325.8100 155.6259	-0.128 -0.020 -0.030
item_ammo_pistol_ttt	-663.9597 -357.9988 155.6259	-0.128 -0.020 -0.030
item_ammo_pistol_ttt	240.7839 -2829.2090 8.3853	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	249.7401 -2759.2366 8.4401	-0.028 0.027 0.001
item_ammo_pistol_ttt	670.3320 -3239.4075 423.5623	-0.100 -0.758 0.003
item_ammo_pistol_ttt	669.1205 -3281.0464 423.5662	0.021 -0.466 0.003
item_ammo_pistol_ttt	-873.8865 1479.5140 -247.6547	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	-862.5975 1478.7036 -247.5864	-0.074 -0.020 -0.022
item_ammo_pistol_ttt	-851.4456 1482.7645 -247.6147	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	1391.1477 -2368.3574 0.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	1390.4794 -2289.1394 0.3967	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	-392.3258 -211.7957 520.3565	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	-367.4555 -199.1491 520.3586	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	-427.2911 -194.1799 520.3406	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	-210.0321 -3144.9944 128.3982	-0.088 -0.020 -0.027
item_ammo_pistol_ttt	-199.8108 -3105.5347 128.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	-202.6516 -3186.5657 128.3543	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	-175.9470 -3148.0864 128.3333	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	-131.8793 -3131.9519 128.3382	-0.140 -0.019 -0.042
