# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_cluedo_b5
# Exported by: -[S-G]- Inferno
setting:	replacespawns 1
weapon_zm_pistol	617.5536 -1387.4973 40.3299	-0.070 35.976 88.977
weapon_zm_pistol	-541.2070 412.2076 112.3932	0.185 36.190 88.998
weapon_zm_pistol	-581.0366 407.0525 108.2386	-4.632 -35.345 -96.255
weapon_zm_pistol	-615.5421 412.3101 113.5389	-1.249 -37.782 -91.487
weapon_zm_pistol	-654.7911 409.7621 107.9379	-4.647 -35.345 -96.275
weapon_zm_pistol	561.1162 -796.3245 83.6395	-0.567 35.367 88.751
weapon_zm_pistol	510.6532 -802.5745 64.3354	-0.573 35.495 90.895
weapon_zm_pistol	488.3099 -783.1910 64.3435	0.007 35.081 89.063
weapon_zm_pistol	465.9702 -767.6297 64.2995	0.002 35.116 88.148
weapon_zm_pistol	-849.9598 -1341.8359 37.6961	0.678 -40.500 -92.943
weapon_zm_pistol	-808.8656 -1383.6704 37.5265	2.546 -31.196 -85.246
item_ammo_pistol_ttt	-430.5994 -1260.8016 35.3414	0.176 0.043 -1.146
item_ammo_pistol_ttt	-419.6937 -1293.1206 35.9801	-0.057 0.057 -0.615
item_ammo_pistol_ttt	-744.7065 -578.0793 83.6824	0.087 -0.249 -0.017
item_ammo_pistol_ttt	-744.5585 -539.2872 83.6855	0.226 0.003 -0.042
item_ammo_pistol_ttt	630.7487 138.8735 100.3543	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	632.6219 182.4557 100.3853	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	777.1738 -1458.5151 40.3459	0.146 0.076 0.073
item_ammo_pistol_ttt	765.7656 -1458.5276 40.3986	-0.160 0.016 -0.107
item_ammo_pistol_ttt	754.5988 -1458.5608 40.4341	-0.694 0.039 -0.394
item_ammo_pistol_ttt	743.6539 -1458.5452 40.4146	-0.455 0.033 -0.246
item_ammo_pistol_ttt	624.2546 -1367.1847 40.3708	-0.112 -0.020 -0.034
item_ammo_pistol_ttt	612.4349 -1379.4749 40.3256	-0.151 -0.018 -0.046
item_ammo_pistol_ttt	537.3309 -1331.7574 40.3746	-0.108 -0.020 -0.033
item_ammo_pistol_ttt	571.5240 -1291.7974 40.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	-795.2132 -1111.6193 36.0431	6.770 0.554 1.027
item_ammo_pistol_ttt	-785.2333 -1172.4493 35.6099	-1.409 0.076 -0.783
item_ammo_pistol_ttt	-80.9294 -542.0886 -123.6113	-0.096 -0.020 -0.029
item_ammo_pistol_ttt	-92.4954 -544.3152 -123.6594	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	-606.3620 435.1957 64.4083	-0.079 -0.020 -0.024
item_ammo_pistol_ttt	-585.6736 434.7066 64.3951	-0.090 -0.020 -0.027
item_ammo_pistol_ttt	-550.6413 432.9084 64.4229	-0.401 0.024 -0.203
item_ammo_pistol_ttt	-569.3726 432.9576 64.4059	-0.124 -0.025 -0.039
item_ammo_pistol_ttt	-629.3639 434.6173 64.3764	-0.107 -0.020 -0.032
item_ammo_pistol_ttt	-651.0038 432.5510 64.3628	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	340.0891 -625.6097 94.2091	-0.136 -0.020 -0.030
item_ammo_pistol_ttt	341.1722 -666.7028 94.3115	1.163 -0.266 -0.001
item_ammo_pistol_ttt	556.9951 -796.4985 83.8057	0.006 0.070 -0.054
item_ammo_pistol_ttt	567.2721 -783.6425 83.8108	-0.089 0.090 -0.002
item_ammo_pistol_ttt	-800.1547 -1366.1061 35.9919	5.846 0.143 -1.544
item_ammo_pistol_ttt	-827.3459 -1365.5243 36.1361	-7.066 0.665 0.413
item_ammo_pistol_ttt	-834.2565 -1321.9429 36.0971	-0.936 0.054 -0.097
weapon_zm_revolver	-487.0613 -8.4254 96.9408	2.535 -20.538 -83.724
weapon_zm_revolver	-54.5676 1228.6985 46.5921	2.694 -20.129 -83.933
weapon_zm_revolver	47.8575 1230.0311 46.5897	2.718 -20.119 -83.840
weapon_zm_revolver	35.5752 1169.2157 46.5422	2.473 -18.156 -83.294
weapon_zm_revolver	-31.8114 1172.0432 46.5930	2.685 -20.136 -83.969
weapon_zm_revolver	657.4087 -1340.2701 41.8801	2.474 -20.308 -83.012
weapon_zm_revolver	660.9069 -1365.2156 41.9154	2.849 -43.048 -83.230
