# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lost_temple_b2
# Exported by: «[N-G]» NinjaTuna
setting:	replacespawns 1
weapon_zm_pistol	-197.4940 -237.3757 -1374.4807	1.599 -38.671 -92.923
weapon_zm_pistol	-199.1593 -240.2203 -1374.0941	3.392 33.200 89.583
weapon_zm_pistol	1231.5170 413.4037 -1401.6542	0.361 36.484 88.870
weapon_zm_pistol	773.5252 1182.4382 -1355.7102	0.018 35.159 87.961
weapon_zm_pistol	1445.3170 2292.9502 -1387.6609	0.478 37.677 88.658
weapon_zm_pistol	358.6173 2179.9214 -1383.6787	0.421 36.880 88.327
weapon_zm_pistol	-1082.5109 2031.0383 -1436.6321	-0.754 -39.573 -88.885
weapon_zm_pistol	-998.1383 1405.1644 -1358.7012	-0.112 36.009 88.456
weapon_zm_pistol	-4.7341 825.1667 -1401.7076	-0.387 35.364 89.107
weapon_zm_pistol	-404.7681 -2600.3801 -1358.6322	-0.019 35.909 89.611
weapon_zm_pistol	1600.9556 -1943.8650 -1337.6495	0.006 35.063 89.203
weapon_zm_pistol	1774.3547 -1031.9336 -1401.7821	-0.708 35.368 88.491
weapon_zm_pistol	2120.8740 1638.1361 -1401.7239	-0.457 35.368 88.973
item_ammo_pistol_ttt	-235.7111 451.8274 -1407.6686	5.047 -1.313 15.111
item_ammo_pistol_ttt	-215.0592 468.4246 -1405.3477	74.580 149.225 138.823
item_ammo_pistol_ttt	-237.4727 478.5641 -1403.7283	4.133 1.224 2.679
item_ammo_pistol_ttt	-229.2457 -231.7907 -1375.7295	2.689 -0.130 2.018
item_ammo_pistol_ttt	-207.0516 -180.3924 -1414.6511	-88.957 -60.066 -179.979
item_ammo_pistol_ttt	-199.3726 -213.6496 -1414.0725	4.131 11.094 -12.120
item_ammo_pistol_ttt	-178.3166 -218.3863 -1414.5605	5.609 3.580 -12.632
item_ammo_pistol_ttt	1230.4923 436.3944 -1401.6047	-0.091 -0.020 -0.028
item_ammo_pistol_ttt	1231.2954 389.8279 -1401.6331	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	1209.9479 418.4057 -1401.6311	-0.114 -0.019 -0.035
item_ammo_pistol_ttt	1250.8040 418.9567 -1401.6692	-0.147 -0.018 -0.045
item_ammo_pistol_ttt	752.5070 1183.0992 -1387.6570	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	744.7468 1183.5703 -1387.6199	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	1449.9678 2275.7893 -1419.5469	0.860 0.090 -0.018
item_ammo_pistol_ttt	1469.8428 2273.7813 -1419.5242	-0.261 0.288 -0.233
item_ammo_pistol_ttt	1480.6946 2303.3174 -1355.5916	0.018 0.031 0.002
item_ammo_pistol_ttt	1547.6326 2217.4529 -1387.5851	-0.073 -0.020 -0.022
item_ammo_pistol_ttt	306.2385 2180.0940 -1383.6478	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	243.2718 2178.9490 -1383.6718	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	199.6707 2179.6165 -1383.6593	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	-858.9713 2054.1101 -1437.6619	-0.140 -0.019 -0.042
item_ammo_pistol_ttt	-857.2993 2008.1686 -1437.5548	-0.463 0.250 -0.487
item_ammo_pistol_ttt	-1080.8463 2013.6942 -1437.6501	-0.130 -0.019 -0.039
item_ammo_pistol_ttt	-1082.7189 2054.4631 -1437.5563	0.693 0.008 0.133
item_ammo_pistol_ttt	-1013.0302 1418.7729 -1358.6392	0.027 0.031 0.004
item_ammo_pistol_ttt	-995.0966 1455.4209 -1358.6616	0.031 0.030 0.005
item_ammo_pistol_ttt	-1015.5822 1469.1644 -1358.6592	0.031 0.030 0.004
item_ammo_pistol_ttt	3.9903 877.7621 -1401.6593	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	2.1172 990.2464 -1401.6593	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	5.7080 758.4960 -1401.6718	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	-352.8834 -2491.1655 -1393.5061	-9.301 0.182 -15.106
item_ammo_pistol_ttt	-375.2074 -2492.3933 -1395.1497	-1.586 -0.847 -7.440
item_ammo_pistol_ttt	-405.3631 -2486.3650 -1396.1410	5.404 -0.382 0.631
item_ammo_pistol_ttt	-363.4576 -2710.6863 -1385.2017	-67.873 157.142 -160.554
item_ammo_pistol_ttt	-402.4948 -2714.8164 -1392.9392	-84.711 83.248 -83.810
item_ammo_pistol_ttt	-422.8731 -2720.5444 -1393.4707	12.851 -0.949 -16.870
