# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: clue
# Exported by: NinjaTuna
setting:	replacespawns 1
weapon_zm_pistol	193.1635 -123.8037 360.3038	0.015 35.145 88.250
weapon_zm_pistol	245.7704 198.8687 364.0248	36.229 0.939 5.199
weapon_zm_pistol	678.1455 905.8615 360.2552	-0.004 33.714 88.179
weapon_zm_pistol	-426.5553 857.8858 201.5044	0.814 -40.799 -87.717
weapon_zm_pistol	81.0261 -128.2484 0.3512	-0.102 34.976 90.918
weapon_zm_pistol	540.3783 -46.3171 23.3814	0.279 -34.443 -90.043
weapon_zm_pistol	575.3834 304.9452 32.3478	-0.322 35.163 90.727
weapon_zm_pistol	490.9752 391.4329 0.3341	-0.050 60.864 91.675
weapon_zm_pistol	633.6630 678.9548 33.3817	0.169 -35.958 -90.343
weapon_zm_pistol	880.9209 697.7283 25.4658	0.317 -41.919 -88.085
weapon_zm_pistol	145.8101 1396.4454 24.3197	-0.402 34.472 89.806
weapon_zm_pistol	136.9295 1206.2675 24.3278	-0.775 35.584 90.846
weapon_ttt_sg550	-213.3832 101.7989 -83.0151	-0.277 -32.194 85.738
weapon_ttt_sg550	-86.3108 755.6390 202.4986	0.090 -5.011 -87.105
weapon_ttt_m3	-180.2097 29.2420 25.3836	-0.491 -10.221 -88.710
weapon_ttt_m3	-68.6708 -184.0739 1.4017	-0.442 -10.374 -88.833
weapon_ttt_m3	513.3944 -33.9354 1.5116	0.956 16.550 84.138
weapon_ttt_m3	384.7408 632.7079 210.2157	-65.288 144.501 -82.311
weapon_zm_revolver	-363.0320 659.7441 229.7642	-0.002 -18.510 -85.653
weapon_zm_revolver	-45.9242 845.6682 201.9355	2.364 -20.487 -84.506
weapon_zm_revolver	-60.6359 153.2867 201.9037	2.576 -20.508 -83.341
weapon_zm_revolver	-412.6975 358.2818 201.9235	1.998 -21.157 -85.793
weapon_zm_revolver	22.1723 527.0925 117.9382	2.483 -20.573 -84.220
weapon_zm_revolver	-142.5737 308.4629 27.3066	-7.872 -18.355 -89.019
weapon_zm_revolver	-173.6270 -236.7599 22.6596	2.670 -20.132 -84.811
weapon_zm_revolver	584.1241 -422.6493 23.4475	0.100 -21.011 -85.461
weapon_zm_revolver	24.6182 -569.4276 25.9729	2.414 -24.664 -85.217
weapon_zm_revolver	367.3929 -579.3090 25.9643	2.412 -20.609 -84.890
weapon_zm_revolver	170.0832 525.8785 1.8986	2.458 -17.406 -83.426
weapon_zm_revolver	56.7036 576.5145 -114.0399	2.436 -21.428 -84.970
weapon_zm_revolver	152.3748 592.3610 -114.0612	2.482 -20.573 -84.233
weapon_zm_revolver	-282.0635 23.8855 -114.0954	2.452 -20.352 -83.562
weapon_zm_revolver	409.6684 362.7902 361.9640	2.726 -19.995 -84.954
weapon_zm_revolver	454.3882 -118.2055 361.5938	-3.360 -20.176 -88.035
weapon_zm_revolver	403.8125 1382.4033 26.2097	1.967 -24.204 -91.441
weapon_zm_revolver	-162.7987 701.8884 41.9678	3.009 -18.737 -84.044
weapon_zm_molotov	-275.4182 -253.9432 4.5705	0.187 -0.215 -0.035
weapon_zm_molotov	-169.8170 354.4750 27.7791	10.404 126.944 -90.026
weapon_zm_molotov	169.2188 531.7808 1.8068	2.443 -129.898 -90.250
weapon_zm_molotov	562.8704 691.9117 28.5703	3.232 -0.144 -3.346
weapon_zm_molotov	454.5432 1409.1058 28.5361	1.972 0.004 -1.860
weapon_zm_rifle	495.1690 -569.6753 201.3947	3.221 9.648 65.957
weapon_zm_rifle	760.9615 -85.6325 229.3545	3.338 11.417 65.102
weapon_zm_rifle	-87.6808 805.7065 202.3100	3.244 2.608 65.103
weapon_zm_rifle	443.4291 -114.2377 362.3841	-7.095 12.790 91.304
weapon_zm_rifle	736.2158 -62.7380 361.3188	3.311 13.266 64.521
weapon_zm_rifle	406.8976 447.5402 491.3412	3.252 87.207 64.908
item_box_buckshot_ttt	566.8878 203.5404 0.4520	-0.474 -0.007 0.421
item_box_buckshot_ttt	569.2549 220.3042 0.4453	-0.528 -0.007 0.469
item_box_buckshot_ttt	749.3030 266.2416 200.3834	-0.616 -0.005 0.585
