# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_island17
# Exported by: «[N-G]» EraYaN
setting:	replacespawns 0
weapon_zm_pistol	-1796.8125 1011.0313 -239.6250	0.527 132.951 89.264
weapon_zm_pistol	-2332.6875 1631.5000 -479.9375	-3.868 -41.358 -97.746
weapon_zm_pistol	-2354.1182 -326.8854 -424.5862	-18.541 42.193 105.178
weapon_zm_pistol	-2356.1392 -322.1323 -422.2777	-4.518 -1.731 -59.449
weapon_zm_pistol	-2481.9063 -1250.4375 -467.8750	-7.164 39.600 94.714
weapon_zm_pistol	-1486.3125 -796.8750 -183.6250	1.450 148.465 88.517
weapon_zm_pistol	647.5625 265.2500 32.2813	-0.132 35.996 88.385
weapon_zm_pistol	145.0313 741.5313 -497.2813	-7.779 -40.127 -98.933
weapon_zm_pistol	-249.7188 1525.4375 78.9375	8.526 8.131 93.615
weapon_zm_pistol	-1382.9563 902.1256 -26.6713	-0.193 9.777 90.115
weapon_zm_pistol	-1254.8438 848.9688 192.3125	0.000 35.117 88.517
weapon_zm_pistol	-1269.6460 747.4739 -481.8544	-2.255 -38.386 -96.816
weapon_zm_pistol	-399.0491 762.2958 -494.5785	2.081 36.375 94.869
weapon_zm_pistol	251.2341 1376.1787 342.0938	-18.938 -25.600 91.191
weapon_zm_pistol	253.5606 1387.9656 342.6236	-18.552 -34.150 -85.718
weapon_zm_pistol	-119.0574 557.5236 -251.2963	-7.480 28.220 90.558
item_ammo_pistol_ttt	-1800.0625 1003.7813 -238.8750	0.396 0.220 4.966
item_ammo_pistol_ttt	-2312.0313 1646.8750 -484.4688	2.022 0.396 -8.834
item_ammo_pistol_ttt	-2295.5938 1659.1250 -487.2500	2.110 0.352 -8.834
item_ammo_pistol_ttt	-2281.2188 1672.8125 -490.1250	2.066 0.352 -8.834
item_ammo_pistol_ttt	-2359.0718 -325.9842 -419.0227	-65.291 -99.533 95.670
item_ammo_pistol_ttt	-2348.1895 -326.0030 -418.6971	72.343 97.944 128.512
item_ammo_pistol_ttt	-2471.0625 -1253.4063 -467.0625	-0.483 -0.791 15.998
item_ammo_pistol_ttt	-2466.3438 -1274.5938 -471.5000	-0.264 1.758 10.021
item_ammo_pistol_ttt	-1478.3750 -812.1563 -183.5313	0.571 0.352 0.176
item_ammo_pistol_ttt	-1484.4688 -809.2188 -183.3438	-0.352 0.132 -1.494
item_ammo_pistol_ttt	-174.3125 143.5313 30.8750	86.627 -61.883 -50.367
item_ammo_pistol_ttt	141.9688 735.1875 -493.6250	-74.892 94.186 -93.132
item_ammo_pistol_ttt	127.7500 731.4375 -495.1875	0.000 1.275 -19.426
item_ammo_pistol_ttt	-710.6783 1077.8646 162.3500	20.867 -14.393 0.067
item_ammo_pistol_ttt	272.2500 362.4063 33.1250	-0.176 0.352 7.999
item_ammo_pistol_ttt	201.1563 1103.4688 -182.6563	-6.065 0.615 3.472
item_ammo_pistol_ttt	212.5313 1103.2813 -181.1875	-7.560 0.571 3.296
item_ammo_pistol_ttt	-1392.4111 911.5453 -23.7189	89.344 167.372 -176.467
item_ammo_pistol_ttt	-1220.4063 860.7188 192.3125	-0.132 0.000 -0.044
item_ammo_pistol_ttt	-962.8438 849.5313 192.4375	0.703 -0.264 0.132
item_ammo_pistol_ttt	-951.9375 863.0000 195.1875	89.879 28.260 0.044
item_ammo_pistol_ttt	-72.6391 97.4298 800.4161	-0.072 -0.020 -0.022
item_ammo_pistol_ttt	-2156.6890 114.0853 -442.8639	-2.064 3.813 -3.712
item_ammo_pistol_ttt	-2142.9485 120.9666 -440.0912	-85.748 120.755 -116.863
item_ammo_pistol_ttt	-1283.5184 752.8219 -482.8763	1.620 0.670 -6.387
item_ammo_pistol_ttt	-1273.5569 750.5797 -483.0983	2.364 0.863 -6.070
item_ammo_pistol_ttt	267.3403 1408.6647 348.8959	-56.475 137.503 -113.283
item_ammo_pistol_ttt	254.8443 1408.4379 344.9942	-55.939 137.452 -112.591
item_ammo_pistol_ttt	-1168.1697 1103.3547 192.4515	0.038 56.822 -0.022
item_ammo_pistol_ttt	-220.1340 -50.4120 24.3668	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	-227.9232 -49.5320 24.3430	-0.136 -0.019 -0.041
