# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_lostvillage
# Exported by: NinjaTuna
setting:	replacespawns 1
weapon_zm_pistol	-905.5195 583.5123 -47.7223	-0.141 36.020 88.102
weapon_zm_pistol	-260.1010 191.3669 -175.7654	-0.631 35.367 88.628
weapon_zm_pistol	-730.9872 -321.0418 -15.6111	1.135 163.194 89.435
weapon_zm_pistol	-1372.1815 -145.9249 -223.7305	-0.152 36.021 87.965
weapon_zm_pistol	-568.2047 -629.9845 -175.6883	-0.301 35.354 89.266
weapon_zm_pistol	-515.3121 -221.2331 -142.7872	0.016 36.247 89.848
weapon_zm_pistol	-682.7766 -382.5129 -175.6843	-0.089 35.993 88.739
weapon_zm_pistol	-124.7181 650.6486 -175.7428	-0.534 35.368 88.815
weapon_zm_pistol	355.9464 364.3595 -175.6883	-0.301 35.354 89.266
item_ammo_pistol_ttt	-884.5525 586.2444 -47.5632	0.054 0.020 -0.016
item_ammo_pistol_ttt	-853.6472 584.2401 -47.6770	0.154 0.018 -0.046
item_ammo_pistol_ttt	-296.4853 197.8305 -175.5932	0.943 1.941 0.091
item_ammo_pistol_ttt	-310.2617 198.4968 -175.6107	-0.152 -0.027 -0.061
item_ammo_pistol_ttt	-728.5235 -336.4438 -15.6594	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	-739.8494 -335.5299 -15.6524	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	-752.0748 -335.0476 -15.6479	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	-1376.2485 -126.3567 -223.6501	-0.130 -0.019 -0.039
item_ammo_pistol_ttt	-1360.6976 -127.5540 -223.6570	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	-524.1038 -219.2395 -142.6689	0.017 0.393 -0.007
item_ammo_pistol_ttt	-534.4130 -219.8088 -142.6798	0.012 -0.032 -0.007
item_ammo_pistol_ttt	-661.7444 -385.3595 -175.6770	-0.154 -0.018 -0.046
item_ammo_pistol_ttt	-645.8961 -389.3063 -175.6501	-0.130 -0.019 -0.039
item_ammo_pistol_ttt	-115.8179 625.0186 -175.5864	-0.074 -0.020 -0.023
item_ammo_pistol_ttt	-115.3113 585.4877 -175.5514	-0.044 -0.020 -0.013
item_ammo_pistol_ttt	360.6532 348.6219 -175.6667	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	362.1489 324.6252 -175.6524	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	250.2557 -296.0084 -239.6217	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	231.6567 -300.2443 -239.6033	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	1959.1952 218.2709 -239.4531	1.070 -0.097 -0.021
item_ammo_pistol_ttt	1990.1968 229.0995 -237.1497	-6.427 0.548 1.993
item_ammo_pistol_ttt	1421.3607 -331.1319 -239.6479	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	1389.6150 -338.7825 -239.6718	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	1062.9996 -788.6777 -175.6352	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	1063.5760 -764.1368 -175.6570	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	788.3088 -517.1897 24.7521	-0.540 -0.441 0.061
item_ammo_pistol_ttt	869.7173 -454.3080 24.7662	0.438 0.011 0.129
item_ammo_pistol_ttt	546.4218 -738.5464 -175.6199	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	569.5508 -740.2054 -175.6570	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	544.5062 -1119.9161 -175.6479	-0.128 -0.019 -0.039
