# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_richland
# Exported by: NinjaTuna
setting:	replacespawns 1
weapon_zm_pistol	-491.4755 1544.8855 80.2474	-0.576 35.368 88.734
weapon_zm_pistol	135.4538 -1004.1360 33.7287	-0.721 -35.090 -90.780
weapon_zm_pistol	-438.6355 1835.3972 -60.7647	-32.265 34.086 91.525
weapon_zm_pistol	585.9409 1680.1428 69.0269	-0.580 -35.968 -90.881
weapon_zm_pistol	-4.7693 1032.6946 1.2923	-0.121 36.013 88.347
weapon_zm_pistol	530.1049 38.8507 52.9409	33.634 -22.498 -30.301
weapon_ttt_glock	753.8967 -31.9846 50.2073	-0.392 -38.356 -88.070
weapon_ttt_glock	905.7390 230.5161 176.2433	-0.593 35.368 88.700
weapon_ttt_glock	234.9682 -243.8101 233.9052	-0.157 -40.358 -89.178
weapon_ttt_glock	-536.4697 -35.3261 47.6122	-50.674 -98.954 86.680
weapon_ttt_glock	-763.8281 -184.6062 176.2390	-0.612 35.367 88.665
weapon_ttt_glock	-815.7935 -120.8683 59.6135	-1.037 -37.601 -91.207
weapon_ttt_glock	-306.9769 103.8335 53.2608	-0.635 33.718 90.993
weapon_ttt_glock	-743.7115 260.2644 82.5692	-1.337 32.415 88.581
weapon_ttt_glock	-839.8842 45.8229 176.2553	-0.542 35.368 88.799
item_ammo_pistol_ttt	-121.1950 1558.4286 117.4534	0.000 1.883 0.069
item_ammo_pistol_ttt	-110.1052 1573.3252 117.4427	-0.427 0.161 -0.000
item_ammo_pistol_ttt	-138.7259 1580.7025 117.4618	-0.044 -0.642 -0.000
item_ammo_pistol_ttt	140.3322 -1025.5691 32.6057	-0.078 -0.021 -0.018
item_ammo_pistol_ttt	139.9612 -1052.6912 32.5699	-0.005 -0.029 0.014
item_ammo_pistol_ttt	790.0945 -816.2664 -133.5281	-78.131 -135.776 171.015
item_ammo_pistol_ttt	782.1747 -749.2706 -135.3892	-80.679 94.383 -16.397
item_ammo_pistol_ttt	786.1607 -578.5826 -133.2571	-77.083 -120.613 -177.608
item_ammo_pistol_ttt	-443.9286 1726.8398 -42.6227	-4.072 -0.004 0.083
item_ammo_pistol_ttt	-444.7604 1776.3669 -42.7107	-4.241 0.641 -0.035
item_ammo_pistol_ttt	528.8060 1545.3666 48.4266	-0.446 0.136 -0.606
item_ammo_pistol_ttt	515.4255 1545.1821 48.4528	-0.636 0.320 -0.496
item_ammo_pistol_ttt	541.6907 1545.3390 48.4541	-0.260 0.116 -0.374
item_ammo_pistol_ttt	1.6666 1004.2426 1.3783	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	2.0242 971.8806 1.3836	-0.101 -0.020 -0.030
item_ammo_pistol_ttt	1.7865 935.9244 1.4290	1.423 0.030 -0.106
item_ammo_pistol_ttt	476.4806 35.3881 58.3972	1.236 0.439 0.211
item_ammo_pistol_ttt	437.5599 38.3234 58.3648	-0.117 -0.019 -0.036
item_ammo_pistol_ttt	457.7839 36.2674 58.3836	-0.101 -0.019 -0.031
item_ammo_pistol_ttt	598.3963 134.3765 58.4854	-0.804 0.067 -0.163
item_ammo_pistol_ttt	728.4236 -32.6395 50.9470	-36.819 87.782 -0.040
item_ammo_pistol_ttt	701.3577 -126.8389 58.5678	-0.826 1.320 0.111
item_ammo_pistol_ttt	872.0500 149.8412 176.3764	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	945.1091 240.0596 176.3836	-0.101 -0.019 -0.031
item_ammo_pistol_ttt	237.3810 -212.6297 239.7505	-0.115 0.025 -0.009
item_ammo_pistol_ttt	244.3833 -274.6085 239.7558	-0.082 -0.022 -0.020
item_ammo_pistol_ttt	-505.7650 -37.1010 56.8709	-0.181 -0.408 -23.956
item_ammo_pistol_ttt	-512.5880 -130.7365 58.4400	-0.707 0.162 -0.593
item_ammo_pistol_ttt	-729.1240 -174.6924 176.3543	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	-707.1237 -174.9613 176.4224	-0.054 0.013 -0.008
item_ammo_pistol_ttt	-726.3986 -33.7304 49.2468	-1.028 77.338 -0.000
item_ammo_pistol_ttt	-754.1497 -33.6207 49.2462	1.057 102.837 -0.006
item_ammo_pistol_ttt	-260.2224 430.1506 32.6751	-1.662 0.053 -0.193
item_ammo_pistol_ttt	-525.0937 283.0743 85.9645	87.199 -179.165 -177.747
item_ammo_pistol_ttt	-937.1619 454.5266 55.9527	-0.721 -0.276 0.578
item_ammo_pistol_ttt	-867.8091 46.0687 176.4136	-0.074 -0.020 -0.023
item_ammo_pistol_ttt	-887.9238 45.2871 176.3499	-0.130 -0.019 -0.039
weapon_ttt_m3	-919.5726 -249.1894 265.4310	-0.092 -14.204 -88.153
weapon_ttt_m3	-429.5448 89.0609 177.4136	-0.339 64.745 86.533
weapon_ttt_m3	-1108.0056 -1360.6687 153.3120	-1.714 10.094 87.510
weapon_ttt_m3	771.1746 -186.1458 17.5069	1.050 130.412 83.702
weapon_ttt_m3	-707.0793 703.9073 23.9340	9.665 0.107 -0.270
weapon_ttt_m3	574.0326 269.3317 141.4379	0.530 -4.001 84.547
weapon_zm_revolver	-974.9333 -1217.4342 89.9058	2.570 -20.510 -83.394
weapon_zm_revolver	147.8288 -431.1684 -126.1131	2.468 -20.320 -83.165
weapon_zm_revolver	-602.0731 2000.7349 -54.8407	1.435 -19.674 -84.659
weapon_zm_revolver	104.4983 1621.3695 -62.4106	-3.557 -0.530 -88.134
weapon_zm_revolver	-1.7594 353.7092 20.9955	4.169 -23.883 -86.829
weapon_zm_revolver	1395.5804 -1458.6610 72.9089	2.562 -20.519 -83.471
weapon_zm_revolver	954.8452 11.3838 309.8654	2.571 -54.929 -84.819
weapon_zm_revolver	270.2246 -115.9242 308.5127	0.900 19.406 87.201
weapon_zm_revolver	308.2174 254.5032 265.9234	1.995 -20.797 -85.805
weapon_zm_revolver	618.5555 95.1276 231.8885	2.616 -20.469 -82.955
weapon_zm_revolver	832.9454 -97.1210 177.8221	2.088 -18.833 -83.509
weapon_zm_revolver	587.6514 -111.1853 93.9401	2.728 -20.117 -83.801
weapon_zm_revolver	-581.2566 -280.7559 129.9235	1.996 -24.293 -85.803
weapon_zm_revolver	-623.2023 -115.1663 230.6505	2.331 134.335 83.740
weapon_zm_revolver	-272.3465 63.0992 194.1117	2.169 -18.466 -83.713
weapon_zm_revolver	-772.3725 63.6643 184.6818	2.081 143.830 85.815
weapon_zm_revolver	-628.2982 64.4355 309.9079	2.565 -20.518 -83.446
weapon_zm_revolver	-635.1262 -67.0186 309.9048	2.573 -20.509 -83.368
weapon_zm_revolver	327.7000 1841.8760 81.8453	2.134 -18.867 -83.756
weapon_zm_revolver	762.2119 34.3273 48.6181	-56.873 67.476 -72.179
ttt_random_weapon	-528.3743 1767.4456 98.0675	2.151 8.592 -91.940
