# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_construct
# Exported by: [BB] EraYaN
setting:	replacespawns 1
weapon_ttt_knife	800.1121 762.5957 -147.1216	2.643 -69.143 -90.698
weapon_ttt_knife	812.3754 774.9241 -147.1158	2.666 -81.479 -90.703
weapon_ttt_knife	820.2305 750.6794 -147.6756	-20.605 -63.380 -83.777
weapon_ttt_knife	818.8041 751.9352 -147.4780	-1.487 64.389 90.734
weapon_ttt_knife	804.5422 765.1361 -147.2328	1.460 -64.525 -89.309
weapon_ttt_knife	807.0703 768.9750 -147.2333	1.438 -63.035 -89.287
weapon_ttt_knife	812.6788 766.3574 -144.9064	25.573 -59.400 -79.064
weapon_ttt_knife	812.1345 753.5848 -147.0405	-1.041 73.306 94.892
weapon_ttt_knife	795.2632 772.9346 -147.1210	2.625 -70.036 -90.700
weapon_ttt_knife	808.3572 773.0435 -147.1165	2.677 -78.258 -90.681
weapon_ttt_knife	817.2189 762.8604 -146.1516	3.313 -63.649 -95.927
weapon_ttt_knife	819.1394 766.2590 -145.7076	16.216 12.694 78.380
weapon_ttt_knife	823.5898 761.6174 -150.0180	-79.648 -3.708 -169.107
weapon_ttt_knife	818.8781 775.2861 -148.1550	-20.777 -12.608 -109.370
weapon_ttt_knife	842.7880 762.1682 -143.4027	-2.491 69.838 90.877
weapon_ttt_knife	786.1666 755.8231 -144.5979	29.093 -68.444 -77.042
weapon_ttt_knife	786.1447 758.9761 -147.1182	2.823 -76.060 -91.263
weapon_ttt_knife	777.4694 762.3663 -147.1750	2.092 -62.178 -91.000
weapon_ttt_knife	787.2422 765.1251 -147.3189	0.509 -62.057 -88.206
weapon_ttt_knife	798.5319 767.2650 -147.2112	-6.710 -78.514 -84.488
weapon_ttt_knife	802.1440 771.4230 -146.0808	2.171 -97.796 -89.794
weapon_ttt_knife	805.6750 770.0936 -145.5083	1.865 -60.946 -97.865
item_ammo_pistol_ttt	1003.0110 -894.1622 -143.6358	0.060 0.000 0.027
item_ammo_pistol_ttt	977.5818 -895.7509 -143.5796	-0.055 0.071 0.000
item_ammo_pistol_ttt	932.8211 -898.6048 -143.5826	-0.599 0.341 -0.209
item_ammo_pistol_ttt	895.2202 -900.9124 -143.5383	0.016 -2.263 0.428
item_ammo_pistol_ttt	854.1484 -903.4702 -143.5726	1.285 -0.055 0.066
item_ammo_pistol_ttt	816.7295 -905.8389 -143.5929	0.016 0.027 0.000
item_ammo_pistol_ttt	748.7763 -898.4739 -143.5686	-0.461 0.313 -0.165
item_ammo_pistol_ttt	707.2729 -896.6254 -143.6416	-0.209 0.055 -0.016
item_ammo_pistol_ttt	669.7813 -897.8867 -143.6175	-0.417 0.049 -0.055
item_ammo_pistol_ttt	620.9613 -893.2582 -144.4836	-0.549 -1.478 -20.314
item_ammo_pistol_ttt	579.6902 -895.8173 -143.5332	-0.225 -0.434 -27.279
item_ammo_pistol_ttt	542.0802 -898.3583 -143.6441	-0.066 0.066 -0.044
item_ammo_pistol_ttt	500.9138 -900.8524 -143.6433	-0.137 0.027 0.038
weapon_ttt_rbull	579.0893 -842.2500 -144.6235	20.577 1.033 0.280
weapon_ttt_rbull	591.7524 -835.7888 -146.0235	0.126 -23.373 -89.995
weapon_ttt_rbull	601.0674 -839.6931 -144.9241	-0.137 -2.977 117.587
weapon_ttt_rbull	611.5490 -837.4694 -146.0416	0.044 -8.503 -89.797
weapon_ttt_rbull	611.4550 -836.7452 -142.2564	15.496 -10.470 93.889
weapon_ttt_rbull	613.5921 -849.1616 -147.2393	-0.181 20.973 88.687
weapon_ttt_rbull	619.5410 -838.1409 -140.8157	17.743 -23.708 -98.536
weapon_zm_revolver	619.5475 156.9514 -146.1549	2.307 -30.646 -87.572
weapon_zm_revolver	630.5098 159.6452 -147.5525	-31.179 -25.966 -85.441
weapon_zm_revolver	628.1371 165.5925 -146.8215	-27.070 -29.855 -104.936
weapon_zm_revolver	629.0468 156.9986 -147.3200	-22.258 36.359 68.049
weapon_zm_revolver	623.9052 173.4937 -147.4015	1.791 -0.406 89.286
weapon_zm_revolver	633.5715 170.8099 -143.7629	-10.085 -47.604 -78.217
weapon_zm_revolver	627.0076 160.0370 -145.1126	-18.814 66.335 -117.598
weapon_zm_revolver	622.8551 156.9707 -143.7100	2.131 -5.466 -4.482
weapon_ttt_sipistol	803.5102 890.7311 -147.8368	0.123 37.835 90.026
weapon_ttt_sipistol	811.6917 889.9680 -146.8117	-0.222 42.344 105.650
weapon_ttt_sipistol	800.8982 894.7595 -146.2875	13.055 34.244 72.231
weapon_ttt_sipistol	808.7215 897.8080 -145.4423	19.957 19.577 59.972
weapon_ttt_sipistol	801.4024 898.5247 -144.5949	27.364 30.248 41.261
weapon_ttt_sipistol	809.1455 904.6979 -145.9856	15.511 2.325 67.442
weapon_ttt_sipistol	811.0718 894.1054 -144.9121	24.830 24.775 46.582
weapon_ttt_sipistol	808.6512 897.0901 -140.9590	11.504 -8.047 -111.614
weapon_ttt_f2000	620.1010 -82.3336 -143.5959	-0.121 6.487 77.668
weapon_ttt_f2000	624.4717 -76.0860 -143.0643	-0.439 5.680 67.115
weapon_ttt_f2000	628.3162 -72.4732 -142.3484	3.087 7.031 47.307
weapon_ttt_f2000	629.7821 -68.7623 -142.1744	5.713 11.755 41.852
weapon_ttt_f2000	626.5353 -58.5393 -142.5163	-5.625 11.959 89.665
weapon_ttt_f2000	629.7538 -67.0069 -139.1181	5.235 16.161 44.220
item_ammo_smg1_ttt	1003.3391 -844.1370 -143.4996	-0.022 -0.011 0.110
item_ammo_smg1_ttt	1000.0042 -824.3135 -143.4661	-0.522 0.346 -0.148
item_ammo_smg1_ttt	974.2836 -846.9208 -143.5756	0.533 0.000 0.346
item_ammo_smg1_ttt	940.6786 -850.1093 -143.4948	-0.527 0.005 -0.406
item_ammo_smg1_ttt	904.5300 -851.7925 -143.6136	0.088 0.000 0.044
item_ammo_smg1_ttt	867.3507 -855.6512 -143.5798	0.423 0.000 0.269
item_ammo_smg1_ttt	833.7901 -859.2136 -143.5934	0.209 0.000 0.126
item_ammo_smg1_ttt	796.5013 -863.1958 -143.5798	0.423 0.000 0.269
item_ammo_smg1_ttt	763.2978 -865.5296 -143.6190	0.066 0.000 0.033
item_ammo_smg1_ttt	712.2967 -866.2314 -143.4716	-0.181 0.011 -0.159
item_ammo_smg1_ttt	687.3010 -867.6029 -143.6057	0.121 0.000 0.066
item_ammo_smg1_ttt	657.5101 -869.1489 -143.6094	-0.088 -0.044 -0.038
item_ammo_smg1_ttt	737.0861 -867.2053 -143.4800	-0.236 0.011 -0.203
weapon_ttt_m16	623.6717 204.8210 -146.0803	-9.240 -8.069 86.375
weapon_ttt_m16	636.9279 213.3566 -142.8093	1.945 -5.164 85.084
weapon_ttt_m16	635.5750 216.4390 -140.2292	4.208 -11.272 74.416
weapon_ttt_m16	639.4514 218.2330 -138.2730	9.360 -9.080 65.759
weapon_ttt_m16	641.8560 208.5347 -135.9611	9.728 -14.425 126.233
weapon_ttt_m16	651.2830 228.8009 -142.8123	1.983 -20.017 84.886
weapon_ttt_m16	654.4304 225.8764 -138.4890	3.774 -34.547 -96.504
weapon_zm_sledge	619.6470 -273.8464 -145.9845	-9.025 11.926 81.881
weapon_zm_sledge	620.1987 -260.1656 -145.7973	-9.229 11.497 83.134
weapon_zm_sledge	623.3047 -246.3999 -142.2453	-11.766 -14.793 -119.636
weapon_zm_sledge	629.2359 -254.2374 -138.1706	16.628 11.371 56.140
weapon_zm_sledge	629.8687 -235.1611 -140.9936	-16.765 2.642 -130.518
weapon_zm_sledge	638.6698 -241.8270 -138.8516	15.397 18.474 57.228
weapon_ttt_glock	614.4829 -201.5932 -146.4489	-1.077 25.433 91.917
weapon_ttt_glock	617.2570 -192.3042 -146.2903	-0.934 20.248 92.082
weapon_ttt_glock	616.8828 -186.1289 -146.1971	-1.060 24.395 92.054
weapon_ttt_glock	613.1922 -190.1527 -144.6288	-0.829 12.250 92.252
