# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_flatgrass
# Exported by: «[N-G]» EraYaN
setting:	replacespawns 0
weapon_zm_pistol	959.7341 -619.1059 -0.6658	-0.566 34.492 90.453
weapon_zm_pistol	957.2720 -623.1666 0.8438	-0.225 -32.057 -96.327
weapon_zm_pistol	957.5882 -631.0280 0.5848	0.195 -46.648 -89.980
weapon_zm_pistol	957.2304 -635.3647 1.8763	15.843 -41.412 -70.357
weapon_zm_pistol	962.4476 -625.9813 1.5107	11.199 55.676 93.268
weapon_zm_pistol	961.4852 -626.9171 2.8833	28.278 -35.836 -49.940
weapon_zm_pistol	961.6417 -627.5026 4.3535	35.215 -46.703 -55.601
weapon_zm_pistol	961.1554 -633.7311 2.5227	23.048 19.987 76.538
weapon_ttt_sg550	644.9836 -515.8438 0.7086	0.370 -28.264 -91.078
weapon_ttt_sg550	615.7139 -529.4781 2.5635	4.213 -81.451 -90.479
weapon_ttt_sg550	622.7833 -518.9028 0.0538	0.145 -28.962 85.615
weapon_ttt_sg550	626.6635 -518.0159 1.9229	1.737 -29.223 -98.199
weapon_ttt_sg550	619.4368 -527.1823 4.3833	5.237 -9.825 88.484
weapon_ttt_sg550	647.2116 -521.8597 2.4833	1.078 -17.846 -80.393
weapon_ttt_sg550	634.7513 -522.9594 4.2777	7.934 -37.340 -81.860
weapon_ttt_sg550	621.0287 -523.3996 6.4041	3.111 -13.260 -77.539
weapon_ttt_sg550	623.8032 -523.3434 8.6901	7.742 -16.724 105.712
weapon_ttt_m3	1374.9198 96.8622 2.8560	9.681 -0.072 -0.830
weapon_ttt_m3	1363.6699 83.8522 0.4558	-0.314 -10.762 -89.132
weapon_ttt_m3	1356.1150 76.7916 1.4634	3.665 -9.493 -71.366
weapon_ttt_m3	1353.0546 71.3477 1.7601	4.485 -10.162 -65.281
weapon_ttt_m3	1357.4762 64.0810 1.3787	3.535 -11.559 -72.066
weapon_ttt_m3	1355.7334 59.4519 1.8291	4.955 -16.967 -62.872
weapon_zm_revolver	1369.3348 -392.5034 0.9732	2.387 -17.683 -85.119
weapon_zm_revolver	1371.3337 -401.4623 0.9733	2.387 -19.491 -85.121
weapon_zm_revolver	1368.7607 -406.1715 2.0578	11.147 -22.776 -67.193
weapon_zm_revolver	1368.3315 -408.8201 2.5219	15.654 -34.013 -60.658
weapon_zm_revolver	1362.6283 -412.2526 -0.4468	0.406 76.191 85.274
weapon_zm_revolver	1371.0902 -418.5968 -0.2746	-29.618 59.145 -86.703
weapon_zm_revolver	1375.5702 -422.7552 -0.6061	-2.644 51.721 87.630
weapon_zm_revolver	1354.5994 -396.3938 0.9572	2.305 -34.994 -85.157
weapon_zm_revolver	1355.0588 -399.9470 1.1084	-12.359 5.798 119.194
weapon_zm_revolver	1349.8766 -398.1348 2.9232	2.142 26.750 -118.314
weapon_zm_revolver	1350.7074 -400.2361 1.6942	0.979 -23.606 117.299
weapon_zm_revolver	1330.6436 -407.3112 0.9118	2.356 -27.843 -84.601
weapon_zm_revolver	1331.1705 -413.9258 0.1429	-6.886 27.811 101.703
weapon_zm_revolver	1329.2101 -411.5680 4.4706	2.554 2.457 -107.947
ttt_random_weapon	622.1141 43.2231 0.9531	-2.386 5.214 -91.554
ttt_random_weapon	622.3035 48.7917 0.2324	1.493 1.739 -93.453
ttt_random_weapon	624.1050 80.4109 0.1843	2.012 5.703 -92.444
ttt_random_weapon	626.0528 117.8751 0.2158	1.676 5.718 -93.134
ttt_random_weapon	628.1980 159.0654 0.2057	1.784 5.716 -92.912
ttt_random_weapon	630.3449 200.2325 0.1590	2.279 5.682 -91.893
ttt_random_weapon	632.4861 241.4570 0.2138	1.698 5.717 -93.090
ttt_random_weapon	634.6332 282.6213 0.1617	2.251 5.678 -91.951
ttt_random_weapon	636.5804 320.0982 0.2076	1.764 5.715 -92.954
ttt_random_weapon	638.5291 357.5530 0.2212	1.619 5.721 -93.251
ttt_random_weapon	640.4786 395.0019 0.2199	1.632 5.720 -93.224
ttt_random_weapon	642.2338 428.7024 0.2100	1.739 5.716 -93.006
ttt_random_weapon	644.3802 469.8795 0.1761	2.099 5.703 -92.265
ttt_random_weapon	646.3290 507.3331 0.1833	2.022 5.704 -92.423
ttt_random_weapon	652.2150 558.5735 0.1603	2.265 5.679 -91.922
ttt_random_weapon	672.6194 584.7924 0.1716	2.147 5.696 -92.167
ttt_random_weapon	733.7985 620.6006 0.2374	1.446 5.728 -93.606
ttt_random_weapon	741.3416 651.1272 0.2076	1.764 5.715 -92.954
ttt_random_weapon	765.3125 677.0350 0.2024	1.819 5.715 -92.840
ttt_random_weapon	799.2041 693.2568 0.1761	2.099 5.703 -92.265
ttt_random_weapon	843.6229 701.5712 0.1505	2.369 5.663 -91.708
ttt_random_weapon	886.7192 694.7869 0.2182	1.651 5.719 -93.185
ttt_random_weapon	934.3496 686.7271 0.1630	2.237 5.677 -91.980
ttt_random_weapon	985.9760 677.2144 0.1957	1.890 5.712 -92.694
ttt_random_weapon	1033.8761 668.1200 0.1603	2.265 5.679 -91.922
ttt_random_weapon	1078.3792 668.0281 0.2331	1.491 5.725 -93.514
ttt_random_weapon	1128.9501 694.9514 0.1803	2.054 5.699 -92.357
ttt_random_weapon	1166.4773 719.7953 0.1576	2.294 5.679 -91.864
ttt_random_weapon	1203.5232 745.3622 0.1916	1.934 5.710 -92.604
weapon_zm_molotov	1086.7788 -627.7413 3.6299	0.087 -0.235 -0.012
weapon_zm_molotov	1096.7133 -630.8445 3.5880	0.158 -0.222 -0.028
weapon_zm_molotov	1096.3462 -634.2205 3.6384	-0.200 -4.108 -0.791
weapon_zm_molotov	1096.2972 -639.7272 3.6807	0.640 3.346 -1.365
weapon_zm_molotov	1087.0685 -631.1518 3.6546	1.773 -8.732 -0.803
weapon_zm_molotov	1093.4084 -634.9847 0.7127	-77.621 19.845 92.209
weapon_zm_molotov	1096.0858 -643.1675 0.6334	78.519 -115.790 -92.127
weapon_zm_molotov	1095.3923 -646.2016 0.7610	58.782 -112.858 -88.838
weapon_zm_molotov	1094.3650 -648.9880 0.6902	89.520 -107.284 -83.309
weapon_zm_molotov	1087.2380 -637.1897 0.6229	26.108 -71.264 89.993
weapon_zm_molotov	1087.0253 -642.3915 0.8787	-84.439 136.915 -90.264
weapon_zm_molotov	1087.9064 -646.7348 0.8528	-63.840 145.356 -89.373
weapon_zm_molotov	1096.0115 -643.8550 3.7100	24.365 -94.877 -85.533
item_ammo_ak47_ttt	1387.0768 372.1512 1.4747	-4.127 -1.961 11.916
item_ammo_ak47_ttt	1393.1934 373.5851 1.1860	1.310 -1.323 -3.300
item_ammo_ak47_ttt	1400.5908 374.4350 0.9709	1.915 -2.190 -3.980
item_ammo_ak47_ttt	1414.7113 378.8359 -0.5089	0.035 15.650 -0.017
item_ammo_ak47_ttt	1417.1268 376.4970 14.0241	-84.732 19.987 -45.117
