# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_bank_b1
# Exported by: NinjaTuna
setting:	replacespawns 1
weapon_zm_pistol	-125.2078 957.9337 -695.6533	0.487 36.813 89.488
weapon_zm_pistol	-200.6816 1112.0548 -695.7504	-0.551 36.034 88.676
weapon_zm_pistol	-186.8864 716.5557 -694.4951	-1.071 -45.876 -91.249
weapon_zm_pistol	-371.1858 684.4656 -695.6394	0.388 34.513 89.159
weapon_zm_pistol	656.6080 867.1465 -694.4956	-1.027 73.915 -91.336
weapon_zm_pistol	467.1242 2068.3391 -703.7207	-0.139 36.020 88.129
weapon_zm_pistol	706.4301 2707.4675 -662.0729	-0.674 -36.793 -90.567
weapon_zm_pistol	54.1874 1330.7410 -255.6608	-0.556 36.274 90.717
weapon_zm_pistol	-342.2196 1200.7969 -243.7411	-0.167 36.019 87.786
weapon_zm_pistol	-42.2760 173.4519 -247.6744	-0.654 34.479 91.112
weapon_zm_pistol	744.3713 842.3621 -229.8253	-0.052 -27.898 -89.815
weapon_zm_pistol	283.0734 941.3127 -224.1046	0.133 35.810 89.795
item_ammo_pistol_ttt	1256.5469 1650.1298 -228.3164	89.412 52.280 149.927
item_ammo_pistol_ttt	1232.7780 1647.4587 -222.3541	-0.945 -0.726 90.598
item_ammo_pistol_ttt	1164.9004 2041.1174 -61.7478	6.549 2.822 -9.593
item_ammo_pistol_ttt	1159.3983 2030.9161 -61.3071	0.139 2.855 14.752
item_ammo_pistol_ttt	1179.9917 2072.0098 -63.6393	-0.121 -0.019 -0.037
item_ammo_pistol_ttt	-119.9481 982.6859 -695.5887	-0.096 -0.207 -0.018
item_ammo_pistol_ttt	-120.7273 963.9617 -694.3777	0.171 -0.850 -2.732
item_ammo_pistol_ttt	-202.9631 1109.6846 -695.6155	0.497 3.431 -0.178
item_ammo_pistol_ttt	-197.5347 1080.0770 -695.5864	-0.074 -0.020 -0.022
item_ammo_pistol_ttt	-444.4830 715.6465 -695.6312	-0.114 -0.020 -0.034
item_ammo_pistol_ttt	-484.4850 701.0195 -695.6457	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	-454.3102 695.7993 -695.6130	-0.098 -0.020 -0.030
item_ammo_pistol_ttt	-421.7791 700.0872 -695.6618	-0.140 -0.019 -0.042
item_ammo_pistol_ttt	-447.3976 690.8285 -695.6254	-0.108 -0.020 -0.033
item_ammo_pistol_ttt	-376.9820 687.7766 -692.6503	-89.073 178.308 -179.696
item_ammo_pistol_ttt	-354.1730 678.1869 -692.7793	89.911 -2.254 -0.067
item_ammo_pistol_ttt	648.2594 865.5372 -695.5084	-0.084 9.478 0.019
item_ammo_pistol_ttt	642.7839 865.9073 -692.6678	-89.271 -178.974 -171.233
item_ammo_pistol_ttt	394.9934 2325.0933 -703.6096	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	465.4844 2123.9927 -703.6523	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	700.3811 2708.8152 -663.1483	-0.154 0.629 -0.047
item_ammo_pistol_ttt	706.6189 2705.0757 -661.7437	-1.787 0.695 -0.935
item_ammo_pistol_ttt	51.4351 1334.9209 -255.5800	0.465 -1.354 0.185
item_ammo_pistol_ttt	41.3608 1346.8312 -252.7464	-89.742 -170.085 168.380
item_ammo_pistol_ttt	-353.2161 1204.1053 -243.6372	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	-359.3888 1204.4131 -243.5182	-0.583 0.146 -0.276
item_ammo_pistol_ttt	-44.7041 176.4837 -247.5661	-1.308 0.588 -0.002
item_ammo_pistol_ttt	-51.1090 167.0654 -247.5436	-0.155 0.637 -0.325
item_ammo_pistol_ttt	745.3832 834.0123 -230.9040	-0.008 30.524 -0.038
item_ammo_pistol_ttt	710.3803 839.0000 -252.7928	-89.389 173.533 -179.434
item_ammo_pistol_ttt	278.6602 944.8149 -221.1554	-89.412 167.300 -168.390
item_ammo_pistol_ttt	285.0700 945.1013 -222.7412	0.013 -4.973 -8.148
item_ammo_pistol_ttt	465.8001 1793.4413 -63.6642	-0.143 -0.019 -0.043
item_ammo_pistol_ttt	456.4287 1793.3972 -63.6217	-0.105 -0.019 -0.032
item_ammo_pistol_ttt	1287.3176 2468.4963 -63.6594	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	1314.7385 2463.9199 -63.6003	-0.087 -0.020 -0.026
item_ammo_pistol_ttt	404.0859 1563.3591 -255.6273	-0.110 -0.019 -0.033
item_ammo_pistol_ttt	386.3184 1567.8809 -255.6693	-0.147 -0.018 -0.044
weapon_ttt_m3	1122.5034 1839.9048 -254.5686	-0.342 -12.929 -89.976
weapon_ttt_m3	248.5072 1426.2391 -62.5624	-0.291 173.253 86.110
weapon_ttt_m3	774.0179 1488.2410 -62.5415	0.297 -14.476 -86.875
weapon_ttt_m3	1465.6815 2222.8069 -62.5961	-0.445 -10.223 -88.871
weapon_zm_revolver	1331.4396 2262.3682 -253.9418	1.637 -21.490 -89.895
weapon_zm_revolver	1207.0144 2361.9551 -254.0151	2.527 14.994 -85.108
weapon_zm_revolver	821.7029 2348.7532 -254.0847	2.365 -19.686 -84.357
weapon_zm_revolver	485.4294 395.2593 -254.3081	-0.938 10.771 -85.510
weapon_zm_revolver	484.8546 443.6960 -254.1143	1.699 -18.547 -86.319
weapon_zm_revolver	450.3767 433.2575 -254.1144	2.469 -20.319 -83.135
weapon_zm_revolver	584.3261 506.8809 -254.0904	2.536 -21.471 -85.031
weapon_zm_revolver	747.0262 125.4647 -238.2493	0.108 -21.029 -85.428
weapon_zm_revolver	706.2467 1622.8174 -253.9834	3.024 -20.088 -85.230
weapon_zm_revolver	1074.2832 1782.5667 -254.0010	2.914 -22.931 -85.304
weapon_zm_revolver	1672.0963 1657.2565 -254.0694	2.266 -17.947 -85.953
weapon_zm_revolver	1599.6866 1921.1166 -219.9592	1.085 27.514 151.126
weapon_zm_revolver	1610.3452 1892.1732 -174.8691	-0.077 -20.073 -86.931
weapon_zm_revolver	297.7590 1340.1698 -654.1258	2.480 -20.297 -82.880
weapon_zm_revolver	-151.0662 995.8434 -694.0247	2.534 -22.034 -85.490
weapon_zm_revolver	-207.1321 1228.4418 -694.0625	2.755 -20.106 -83.697
weapon_zm_revolver	492.3809 2069.2339 -254.1953	1.252 -26.703 -86.942
weapon_zm_revolver	1243.2036 1901.3846 -254.0766	2.552 -19.682 -83.772
ttt_random_weapon	184.3460 1755.5500 -54.6271	0.000 261.000 0.000
ttt_random_weapon	1134.9500 1771.9301 -166.8130	0.000 0.000 0.000
ttt_random_weapon	-500.3000 921.5120 -686.6270	0.000 0.000 0.000
ttt_random_weapon	-368.8860 1179.6000 -686.6270	0.000 0.000 0.000
ttt_random_weapon	-331.9700 563.1760 -686.6270	0.000 0.000 0.000
ttt_random_weapon	-598.2230 575.8700 -686.6270	0.000 0.000 0.000
ttt_random_weapon	613.6530 2577.2400 -115.9000	0.000 0.000 0.000
ttt_random_weapon	-342.4640 1070.2100 -686.6270	0.000 0.000 0.000
ttt_random_weapon	-493.2640 1033.4500 -621.6610	0.000 0.000 0.000
ttt_random_weapon	-379.8880 813.4890 -686.6270	0.000 0.000 0.000
ttt_random_weapon	-261.9920 820.2750 -621.6610	0.000 0.000 0.000
ttt_random_weapon	198.1870 1347.0400 -613.2700	0.000 0.000 0.000
ttt_random_weapon	806.7420 2691.6799 -608.8340	0.000 0.000 0.000
ttt_random_weapon	329.7650 2003.2900 -694.6270	0.000 0.000 0.000
ttt_random_weapon	1966.3900 775.6510 -246.6270	0.000 0.000 0.000
ttt_random_weapon	763.0780 2584.1699 -115.9010	0.000 0.000 0.000
ttt_random_weapon	184.3460 1755.5500 -54.6271	0.000 261.000 0.000
ttt_random_weapon	1134.9500 1771.9301 -166.8130	0.000 0.000 0.000
ttt_random_weapon	-500.3000 921.5120 -686.6270	0.000 0.000 0.000
ttt_random_weapon	-368.8860 1179.6000 -686.6270	0.000 0.000 0.000
ttt_random_weapon	-331.9700 563.1760 -686.6270	0.000 0.000 0.000
ttt_random_weapon	-598.2230 575.8700 -686.6270	0.000 0.000 0.000
ttt_random_weapon	613.6530 2577.2400 -115.9000	0.000 0.000 0.000
ttt_random_weapon	-342.4640 1070.2100 -686.6270	0.000 0.000 0.000
ttt_random_weapon	-493.2640 1033.4500 -621.6610	0.000 0.000 0.000
