# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_camel_v1
# Exported by: NinjaTuna
setting:	replacespawns 1
weapon_zm_pistol	674.9394 -3307.6277 423.4437	0.048 34.733 89.760
weapon_zm_pistol	-420.4324 -219.7006 520.2745	-0.145 36.019 88.049
weapon_zm_pistol	-380.3729 -214.9174 520.3484	-0.045 35.947 89.286
item_ammo_pistol_ttt	-392.3258 -211.7957 520.3565	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	-367.4555 -199.1491 520.3586	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	-427.2911 -194.1799 520.3406	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	-131.8793 -3131.9519 128.3382	-0.140 -0.019 -0.042
item_ammo_pistol_ttt	-119.1646 -3159.5305 128.3203	-0.156 -0.017 -0.047
item_ammo_pistol_ttt	-172.1945 1852.9420 8.3358	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	-154.0852 1823.8326 8.3801	-0.104 -0.020 -0.031
weapon_ttt_m3	-551.8155 -95.7237 137.0439	-0.964 -9.386 -89.057
weapon_ttt_m3	-551.7079 -130.3198 137.0217	-0.290 -8.661 -83.855
weapon_ttt_m3	-33.6968 -1063.8254 9.2761	-0.367 8.304 84.216
weapon_ttt_m3	-53.7351 -942.8976 9.0404	-0.887 -9.529 -88.532
weapon_ttt_m3	216.0121 -1683.8984 -90.3811	-3.859 -12.126 -104.334
weapon_ttt_m3	402.5406 -3489.6692 808.3409	-0.459 9.446 84.635
weapon_ttt_m3	372.4007 -3478.9736 808.3231	-0.445 8.513 84.252
weapon_ttt_m3	620.6470 -3363.2026 808.5734	-0.781 8.513 93.084
weapon_zm_revolver	-838.8908 -754.8184 9.8908	2.465 -20.330 -83.252
weapon_zm_revolver	-856.4910 -764.4514 9.9143	2.443 -20.369 -83.781
weapon_zm_revolver	-405.9605 -579.9315 41.0342	2.403 -19.056 -85.106
weapon_zm_revolver	103.9384 -3383.9536 521.9161	2.576 -19.662 -83.575
weapon_zm_revolver	138.1436 -3376.3147 521.9106	2.594 -19.647 -83.428
weapon_zm_revolver	-782.9898 1307.9894 -246.0745	2.999 -25.028 -83.007
weapon_zm_revolver	-782.8506 1293.0574 -246.0906	2.448 -21.677 -83.670
weapon_zm_revolver	-781.9644 1275.4922 -246.1823	1.473 -26.982 -88.133
weapon_zm_revolver	-782.8273 1263.0028 -246.1932	1.150 -23.152 -87.580
weapon_zm_revolver	-541.2416 -161.3155 137.8744	2.192 -18.912 -84.065
