# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_canyon_a4
# Exported by: NinjaTuna
setting:	replacespawns 0
weapon_zm_pistol	-2731.5200 -778.4950 451.8580	0.000 0.000 0.000
weapon_zm_pistol	-708.5340 -2127.6699 449.7230	0.000 0.000 0.000
weapon_zm_pistol	-732.2790 -2088.9900 577.7230	0.000 0.000 0.000
weapon_zm_pistol	-1328.5000 -2129.1001 705.7230	0.000 0.000 0.000
weapon_zm_pistol	-142.1600 187.8280 705.7230	0.000 0.000 0.000
weapon_zm_pistol	-167.4259 122.3444 1152.3362	-0.606 35.886 90.762
weapon_zm_pistol	405.0060 1033.3400 1153.7200	0.000 0.000 0.000
weapon_zm_pistol	-1789.1801 1590.6400 1537.7200	0.000 0.000 0.000
weapon_zm_pistol	-1539.6300 889.7810 1153.7200	0.000 0.000 0.000
item_ammo_pistol_ttt	-3752.0000 -1004.0000 705.0000	0.000 0.000 0.000
item_ammo_pistol_ttt	-3764.0000 -1004.0000 705.0000	0.000 0.000 0.000
item_ammo_pistol_ttt	-3788.1299 -1004.6200 705.0000	0.000 0.000 0.000
item_ammo_pistol_ttt	-3776.1299 -1004.6200 705.0000	0.000 0.000 0.000
item_ammo_pistol_ttt	-3788.2600 -976.6210 705.0000	0.000 0.000 0.000
item_ammo_pistol_ttt	-3776.2600 -976.6210 705.0000	0.000 0.000 0.000
item_ammo_pistol_ttt	-3764.1299 -976.0000 705.0000	0.000 0.000 0.000
item_ammo_pistol_ttt	-3752.1299 -976.0000 705.0000	0.000 0.000 0.000
item_ammo_pistol_ttt	-180.1310 -2224.1001 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-168.1310 -2224.1001 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-156.5230 -2224.1001 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-144.5230 -2224.1001 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-132.3920 -2223.4800 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-180.1310 -2197.1001 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-168.1310 -2197.1001 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-156.5230 -2197.1001 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-144.5230 -2197.1001 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-132.3920 -2196.4800 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-120.3920 -2196.4800 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-108.3920 -2197.1001 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-96.3920 -2197.1001 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-84.2613 -2196.4800 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-72.2613 -2196.4800 448.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-15.3920 50.0000 704.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-3.3919 50.0000 704.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	8.6081 49.3793 704.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	20.6080 49.3793 704.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	32.7387 50.0000 704.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	44.7387 50.0000 704.2800	0.000 0.000 0.000
item_ammo_pistol_ttt	-1630.9399 1005.4300 704.2800	0.000 315.000 0.000
item_ammo_pistol_ttt	-1622.4500 996.9460 704.2800	0.000 315.000 0.000
item_ammo_pistol_ttt	-1614.2400 988.7380 704.2800	0.000 315.000 0.000
item_ammo_pistol_ttt	-1611.8400 1024.5200 704.2800	0.000 315.000 0.000
item_ammo_pistol_ttt	-1603.3600 1016.0400 704.2800	0.000 315.000 0.000
item_ammo_pistol_ttt	-1595.1500 1007.8300 704.2800	0.000 315.000 0.000
item_ammo_pistol_ttt	-158.7206 136.6370 1152.3688	-0.114 -0.019 -0.034
item_ammo_pistol_ttt	-169.3774 136.0299 1152.4474	-0.553 0.118 -0.506
item_ammo_pistol_ttt	-676.8501 -2111.8147 448.3727	-0.110 -0.019 -0.033
item_ammo_pistol_ttt	-673.4104 -2130.0977 448.4134	-0.325 0.256 -0.509
item_ammo_pistol_ttt	-1269.2372 924.6025 1536.4124	0.075 0.020 -0.023
item_ammo_pistol_ttt	-1287.7134 900.9354 1536.3333	0.145 0.018 -0.044
weapon_ttt_m3	-867.3600 -1844.6500 578.4890	0.000 269.000 0.000
weapon_ttt_m3	-197.6990 -2398.7700 578.4890	0.000 269.000 0.000
