# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: zm_roy_the_ship
# Exported by: NinjaTuna
setting:	replacespawns 1
weapon_zm_pistol	-2422.8181 -177.8762 576.8855	0.315 36.627 89.325
weapon_zm_pistol	-2693.5618 1571.4564 579.9902	0.366 36.640 89.239
weapon_zm_pistol	-2318.5872 666.6461 784.6249	0.401 36.647 89.182
weapon_zm_pistol	-2438.2493 1992.8033 704.2923	-0.121 36.013 88.347
weapon_zm_pistol	-2305.9934 2334.6501 1024.3025	-0.107 36.004 88.518
weapon_ttt_glock	-2261.9116 2246.3560 859.3320	0.065 -34.558 -90.234
weapon_ttt_glock	-2466.1033 -122.8048 265.7751	-0.634 38.051 91.423
weapon_ttt_glock	-2275.7661 422.3404 220.3543	0.559 36.679 88.919
weapon_ttt_glock	-2456.0325 -294.3178 420.3001	-0.111 36.009 88.477
weapon_ttt_glock	-2371.5198 481.6650 432.7255	0.003 -37.915 -89.871
weapon_ttt_glock	-2431.1838 1887.3949 272.0457	0.378 37.311 89.250
weapon_ttt_sg550	-2510.7874 -529.8530 606.6953	0.375 -12.304 -90.812
weapon_ttt_sg550	-2464.5208 2156.7429 1025.6483	0.359 -12.478 -89.836
weapon_ttt_sg550	-2751.9863 2011.1868 705.4821	0.235 -19.518 -86.357
weapon_ttt_sg550	-2660.6846 915.5185 786.0065	0.418 -12.900 -91.650
weapon_ttt_m3	-2398.6428 -329.8313 658.3538	-0.288 -16.601 -88.620
weapon_ttt_m3	-2321.9878 356.3026 657.4626	9.619 0.107 -0.572
weapon_ttt_m3	-2580.3274 2388.9902 969.4055	-0.423 -10.292 -88.817
weapon_ttt_m3	-2681.7852 2146.5576 1025.2632	-0.220 8.297 83.528
weapon_ttt_m3	-2543.9404 1896.5011 275.9304	-0.472 8.562 84.596
weapon_zm_revolver	-2502.1868 -773.9638 606.8890	2.466 -21.271 -83.212
weapon_zm_revolver	-2393.1287 832.5956 526.9874	3.368 -30.542 -83.628
weapon_zm_revolver	-2556.3823 1122.5500 582.2755	2.177 -21.952 -83.461
weapon_zm_revolver	-2301.0449 1179.6440 656.4374	2.713 -20.119 -83.859
weapon_zm_revolver	-2260.8669 2300.6841 961.9315	2.815 -20.076 -83.464
weapon_zm_revolver	-2351.4187 2498.6909 705.9194	2.438 -20.377 -83.897
weapon_zm_revolver	-2247.8789 -800.0115 349.9270	2.405 -19.797 -84.175
weapon_zm_revolver	-2237.4917 -673.4177 369.9390	2.582 -22.104 -84.044
weapon_zm_revolver	-2327.7830 -106.0004 221.8766	2.478 -21.883 -82.935
weapon_zm_revolver	-2525.1140 486.3171 221.8898	2.772 -32.595 -84.119
weapon_zm_revolver	-2459.1858 481.0771 293.9340	2.790 -20.089 -83.562
weapon_zm_revolver	-2252.4800 154.4317 467.3494	2.456 -20.021 -83.789
weapon_zm_revolver	-2736.7429 456.3960 469.2119	2.275 22.209 85.116
weapon_zm_revolver	-2466.6663 495.0210 421.9082	1.875 -176.295 -86.012
weapon_zm_revolver	-2433.6624 586.5428 347.8920	2.464 -20.331 -83.280
weapon_zm_revolver	-2378.4045 2107.4475 559.9304	2.428 -20.395 -84.145
ttt_random_weapon	-2359.6411 86.8434 536.1746	1.634 4.694 -93.150
ttt_random_weapon	-2496.9426 309.5576 601.2108	1.753 5.073 -92.876
ttt_random_weapon	-2319.8999 2038.4613 526.2041	1.829 4.713 -92.703
ttt_random_weapon	-2637.0464 2032.7823 526.2061	1.807 4.711 -92.753
ttt_random_weapon	-2525.8472 2322.5144 1025.2023	1.850 4.927 -92.655
ttt_random_weapon	-2394.6338 2484.4819 817.2311	1.524 4.679 -93.402
ttt_random_weapon	-2700.0510 2295.4448 705.2352	1.477 4.909 -93.508
ttt_random_weapon	-2291.0811 2302.9641 705.2110	1.751 4.927 -92.882
ttt_random_weapon	-2731.1372 2300.7214 559.7222	-2.375 -131.485 86.278
ttt_random_weapon	-2276.5745 -559.4550 221.2021	1.852 4.715 -92.650
ttt_random_weapon	-2698.8540 -6.0208 221.2439	1.379 -166.370 -93.733
ttt_random_weapon	-2305.4612 87.9341 421.2023	1.850 4.928 -92.656
ttt_random_weapon	-2458.1526 19.8029 421.2327	1.506 4.912 -93.442
ttt_random_weapon	-2298.7803 751.5421 221.2283	1.555 4.684 -93.330
ttt_random_weapon	-2479.5598 1419.4275 257.4467	1.972 4.920 -92.376
ttt_random_weapon	-2396.7566 2254.2805 349.2256	1.586 4.918 -93.258
ttt_random_weapon	-2394.0081 2282.2881 349.1906	1.981 4.921 -92.354
ttt_random_weapon	-2584.4102 2492.8828 349.2186	1.666 4.923 -93.076
ttt_random_weapon	-2281.1519 2071.7595 221.1977	1.901 4.718 -92.537
weapon_zm_molotov	-2707.5496 -781.5867 613.5729	2.842 -0.129 -2.949
weapon_zm_molotov	-2424.8042 639.5360 529.6338	1.385 -0.112 -1.430
weapon_zm_molotov	-2344.8286 1705.3292 573.1946	2.500 -0.124 -2.539
weapon_zm_molotov	-2309.3416 2152.6179 1028.5961	2.491 -0.127 -2.568
weapon_zm_molotov	-2667.8621 2182.2849 881.1839	1.141 134.615 -90.105
