# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_westwood
# Exported by: Willdy
setting:	replacespawns 1
weapon_zm_pistol	962.8791 19.2574 -111.7903	0.035 173.890 88.802
weapon_zm_pistol	1403.7996 94.1669 -111.5837	0.971 173.247 89.930
weapon_zm_pistol	1256.9716 82.9575 -111.6361	1.404 -171.740 88.570
weapon_zm_pistol	1097.6047 18.3040 -111.5860	0.906 42.660 89.924
weapon_zm_pistol	1178.7382 129.7478 -110.4279	0.143 -74.022 -89.524
item_ammo_pistol_ttt	567.9443 738.0521 63.9920	1.174 -168.616 0.215
item_ammo_pistol_ttt	1953.5222 47.4666 -103.6056	-0.721 -88.079 -0.001
item_ammo_pistol_ttt	1897.0150 274.5122 -100.7772	-89.923 -1.195 0.659
item_ammo_pistol_ttt	1953.2958 59.5715 -103.6056	-0.721 -92.039 -0.001
item_ammo_pistol_ttt	1952.5425 73.2251 -103.6056	-0.721 -91.379 -0.001
item_ammo_pistol_ttt	1952.7183 83.8907 -103.6056	-0.721 -90.279 -0.001
item_ammo_pistol_ttt	1952.7067 96.7137 -103.6056	-0.721 -88.739 -0.001
item_ammo_pistol_ttt	1952.7111 105.2310 -103.6056	-0.721 -87.419 -0.001
item_ammo_pistol_ttt	1952.7002 115.2793 -103.6056	-0.721 -85.439 -0.001
item_ammo_pistol_ttt	1951.7855 125.2692 -103.6056	-0.721 -83.679 -0.001
item_ammo_pistol_ttt	1932.1136 123.6936 -103.6056	-0.721 -88.299 -0.001
item_ammo_pistol_ttt	1935.5332 48.6729 -103.6056	-0.721 -93.799 -0.001
item_ammo_pistol_ttt	1934.5930 60.8341 -103.6056	-0.721 -93.579 -0.001
item_ammo_pistol_ttt	1935.0081 74.1333 -103.6056	-0.721 -92.479 -0.001
item_ammo_pistol_ttt	1935.2728 85.1441 -103.6056	-0.721 -91.379 -0.001
item_ammo_pistol_ttt	1934.7953 96.1802 -103.6056	-0.721 -90.499 -0.001
item_ammo_pistol_ttt	1934.9404 105.0867 -103.6056	-0.721 -89.179 -0.001
item_ammo_pistol_ttt	1934.2192 113.7605 -103.6056	-0.721 -81.039 -0.001
item_ammo_pistol_ttt	1266.2148 68.1099 -111.5876	1.738 165.622 0.000
item_ammo_pistol_ttt	1220.1179 162.2198 -111.5571	1.123 -71.623 -0.000
weapon_zm_revolver	1656.9855 224.7429 -44.0374	2.954 12.582 -83.954
weapon_zm_revolver	1666.7126 300.0466 -44.0065	3.309 111.774 -83.958
weapon_zm_revolver	887.9841 1227.5820 -126.0435	2.255 -25.371 -85.351
weapon_zm_revolver	886.8940 1200.1058 -126.0435	2.255 -34.391 -85.351
weapon_zm_revolver	883.3758 1172.6663 -126.0435	2.255 -44.071 -85.351
weapon_zm_revolver	885.0354 1153.1288 -126.0435	2.255 -51.111 -85.351
weapon_zm_revolver	887.8649 1137.5471 -126.0435	2.255 -56.391 -85.351
weapon_zm_revolver	887.7526 1116.2769 -126.0435	2.255 -63.431 -85.351
weapon_zm_revolver	890.8958 1090.0282 -126.0435	2.255 -70.911 -85.351
weapon_zm_revolver	889.5496 1059.5531 -126.0435	2.255 -79.051 -85.351
weapon_zm_revolver	496.4458 1513.6580 -126.0435	2.255 -6.371 -85.351
weapon_zm_revolver	519.8679 1410.3518 -126.0435	2.255 -136.171 -85.351
weapon_zm_revolver	603.7673 1451.5579 -108.5897	2.255 -62.031 -85.351
weapon_zm_revolver	590.5291 1451.7551 -108.5897	2.255 -64.671 -85.351
weapon_zm_revolver	-265.9611 1720.4506 -91.3408	-14.301 92.480 4.318
weapon_zm_revolver	-99.1727 1734.7542 -43.8659	-20.331 -86.544 1.700
weapon_zm_revolver	-260.1761 1593.0452 -58.7657	-10.101 93.000 1.990
