# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_island17
# Exported by: NinjaTuna
setting:	replacespawns 0
weapon_zm_pistol	-1796.8125 1011.0313 -239.6250	0.527 132.951 89.264
weapon_zm_pistol	-2332.6875 1631.5000 -479.9375	-3.868 -41.358 -97.746
weapon_zm_pistol	-2357.8438 -328.1875 -432.3125	-17.404 40.610 106.097
weapon_zm_pistol	-2357.5313 -321.5625 -427.5938	9.493 -30.370 -77.133
weapon_zm_pistol	-2481.9063 -1250.4375 -467.8750	-7.164 39.600 94.714
weapon_zm_pistol	-1486.3125 -796.8750 -183.6250	1.450 148.465 88.517
weapon_zm_pistol	647.5625 265.2500 32.2813	-0.132 35.996 88.385
weapon_zm_pistol	145.0313 741.5313 -497.2813	-7.779 -40.127 -98.933
weapon_zm_pistol	-249.7188 1525.4375 78.9375	8.526 8.131 93.615
weapon_zm_pistol	-2007.5938 1601.2813 -463.7813	-7.516 45.753 94.890
weapon_zm_pistol	-2000.2500 1598.2500 -464.7500	-13.669 56.828 97.131
weapon_zm_pistol	-1372.9063 909.1250 -26.7500	0.000 36.215 88.868
weapon_zm_pistol	-1254.8438 848.9688 192.3125	0.000 35.117 88.517
weapon_ttt_sg550	-2519.0313 -1110.2813 -346.7500	21.843 -12.086 -98.362
weapon_ttt_sg550	165.5938 65.4063 801.5938	0.308 -11.867 -89.440
weapon_ttt_sg550	306.4375 1379.2188 342.9688	-20.569 175.495 94.582
weapon_ttt_sg550	492.1875 778.6563 -495.7500	1.099 -4.000 -73.486
weapon_ttt_sg550	-959.7188 1161.8438 192.1875	-31.557 -77.485 79.990
weapon_ttt_sg550	-912.5625 277.6563 68.4688	12.790 -11.032 -92.736
weapon_ttt_m3	-284.5313 -164.0938 25.4063	-0.483 -8.834 -89.440
weapon_ttt_m3	-2270.0000 35.1250 -358.6250	-1.099 10.197 87.022
weapon_ttt_m3	168.3125 44.0000 803.5625	5.670 -5.889 -80.078
weapon_ttt_m3	-1382.6875 -1696.1563 -462.8125	-6.593 15.427 75.859
weapon_ttt_m3	-1225.5313 882.8438 88.4688	32.348 -18.767 -99.592
weapon_ttt_m3	755.5625 -273.9688 -174.4688	0.835 6.021 84.166
weapon_ttt_m3	-2123.0313 -656.5938 -448.0313	1.626 14.987 83.990
weapon_ttt_m3	-1244.9375 1937.3438 -492.2188	-4.307 -8.307 -92.033
weapon_ttt_m3	281.2500 1404.5313 351.0625	9.054 24.041 -88.912
weapon_ttt_m3	271.8125 1376.2500 354.1875	1.934 8.658 -80.650
weapon_ttt_m3	480.9375 753.2813 -499.7500	3.164 10.944 74.277
weapon_zm_revolver	-1946.0313 1110.6875 -234.0625	2.417 -20.393 -84.166
weapon_zm_revolver	21.0938 -275.7500 -489.2500	2.769 -21.272 -84.561
weapon_zm_revolver	156.6563 -725.0625 -529.5625	13.537 -26.019 -87.286
weapon_zm_revolver	-18.5000 68.2500 33.8438	2.110 -23.733 -83.155
weapon_zm_revolver	-2499.3438 1522.7188 -473.5313	-1.538 -24.964 -91.198
weapon_zm_revolver	-2032.3438 250.1250 -318.0625	2.461 -20.349 -83.682
weapon_zm_revolver	-690.3438 -1352.6875 -327.3125	2.549 -21.404 -83.462
weapon_zm_revolver	-1438.4688 -801.7500 -179.7813	24.788 1.846 -35.161
weapon_zm_revolver	-1436.9063 1514.3750 -194.3125	-5.714 28.436 88.341
weapon_zm_revolver	301.7813 1419.0625 341.1875	9.098 -27.162 -92.648
weapon_zm_revolver	284.8438 1413.8750 344.0938	-5.933 -136.775 -87.110
weapon_zm_revolver	-292.0938 -49.6563 25.8750	2.461 -20.305 -83.023
weapon_zm_revolver	275.0000 1351.5000 351.4063	11.295 0.747 -126.578
weapon_zm_revolver	274.5313 1355.5938 351.6250	11.076 -5.230 -133.566
weapon_zm_revolver	-159.5000 681.6875 -9.5938	2.285 -19.338 -84.649
weapon_zm_revolver	-1028.2813 888.9375 -62.0625	2.593 -20.393 -84.166
weapon_zm_revolver	-834.4063 -1150.0313 -353.5313	-12.086 36.523 97.571
weapon_zm_revolver	-699.5938 -1364.5000 -329.7188	1.978 -19.075 -85.836
weapon_zm_revolver	-1263.5000 1025.9063 -62.1875	1.319 -26.810 -86.539
