# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_wintermansion_beta2
# Exported by: NinjaTuna
setting:	replacespawns 1
weapon_zm_pistol	430.7104 609.7439 215.8308	0.088 38.229 89.552
weapon_zm_pistol	14.0075 692.6570 232.4433	-0.172 -18.888 -90.030
weapon_zm_pistol	-1533.1659 1410.8091 -0.2620	-0.641 35.703 88.772
weapon_zm_pistol	-1399.9569 1583.3937 0.2911	0.017 35.155 87.989
weapon_zm_pistol	-292.0236 1608.7516 31.3171	0.017 35.155 88.071
weapon_zm_pistol	727.6754 1312.7625 0.3265	0.384 36.883 88.459
weapon_zm_pistol	594.0453 1165.9474 13.4132	-21.506 14.961 -68.651
weapon_zm_pistol	647.8951 990.5621 42.5290	-0.594 35.368 88.700
weapon_zm_pistol	27.2888 989.7491 129.3998	-0.334 -38.936 -88.851
weapon_zm_pistol	252.2948 495.7512 32.3304	0.014 35.145 88.344
item_ammo_pistol_ttt	475.3596 617.1415 218.6909	-89.344 -119.328 -145.718
item_ammo_pistol_ttt	864.2578 1027.6588 201.0203	-0.277 -0.025 0.013
item_ammo_pistol_ttt	861.1642 994.8923 200.9630	-0.253 0.050 0.038
item_ammo_pistol_ttt	15.8414 714.5062 199.8014	89.476 -164.086 -162.125
item_ammo_pistol_ttt	15.5682 692.1464 199.4581	89.443 -163.946 -165.478
item_ammo_pistol_ttt	12.6008 715.3928 233.9050	89.460 176.715 178.198
item_ammo_pistol_ttt	-1541.3757 1410.5751 -0.0885	-0.611 0.057 -0.084
item_ammo_pistol_ttt	-1829.1155 1424.8248 176.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	-1800.8879 1429.2450 176.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	-1386.3531 1566.0244 0.3764	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	-1398.1422 1564.8278 0.3783	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	-113.4307 1607.8102 31.3719	-0.129 -0.019 -0.037
item_ammo_pistol_ttt	-257.4500 1609.9548 31.3719	-0.129 -0.019 -0.037
item_ammo_pistol_ttt	-330.6129 1614.0826 31.4140	-0.093 -0.020 -0.026
item_ammo_pistol_ttt	727.6368 1330.6293 0.3936	-0.092 -0.020 -0.028
item_ammo_pistol_ttt	741.5827 1330.6115 0.3256	-0.151 -0.018 -0.046
item_ammo_pistol_ttt	1249.1044 1348.1281 0.3967	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	637.5773 1221.2401 40.7733	-0.128 1.317 -0.003
